DIN,FullName,GenericName,BrandName,Dosage,DosageForm
868,PILOCARPINE HCL 2 % SO,PILOCARPINE HCL,Isopto Carpine, 2 % SO,DROPS
884,PILOCARPINE HCL 4 % SO,PILOCARPINE HCL,Isopto Carpine, 4 % SO,DROPS
892,PILOCARPINE HCL 6 % SO,PILOCARPINE HCL,Isopto Carpine, 6 % SO,DROPS
965,SULFACETAMIDE SODIUM 10 % SO,SULFACETAMIDE SODIUM,Isopto Cetamide, 10 % SO,DROPS
981,TROPICAMIDE 0.5 % SO,TROPICAMIDE,Mydriacyl, 0.5 % SO,DROPS
1000,MORPHINE SULFATE 100 % PA,MORPHINE SULFATE,Morphine Sulfate Powder, 100 % PA,POWDER
1007,TROPICAMIDE 1 % SO,TROPICAMIDE,Mydriacyl, 1 % SO,DROPS
1058,CHLORAMPHENICOL 1 % OA,CHLORAMPHENICOL,Fenicol Ont, 1 % OA,OINT. (G)
1082,CHLORAMPHENICOL 0.5 % SO,CHLORAMPHENICOL,Chloroptic, 0.5 % SO,DROPS
1090,EPINEPHRINE 0.5 % SO,EPINEPHRINE,Epifrin, 0.5 % SO,DROPS
1104,EPINEPHRINE 1 % SO,EPINEPHRINE,Epifrin, 1 % SO,DROPS
1112,EPINEPHRINE 2 % SO,EPINEPHRINE,Epifrin, 2 % SO,DROPS
1120,IDOXURIDINE 0.1 % SO,IDOXURIDINE,Herplex, 0.1 % SO,DROPS
1147,NAPHAZOLINE HCL 0.1 % SO,NAPHAZOLINE HCL,Albalon, 0.1 % SO,DROPS
1200,HYDROMORPHONE HCL 100 % PA,HYDROMORPHONE HCL,Pms-Hydromorphone Powder, 100 % PA,POWDER
1279,PROPARACAINE HCL 0.5 % SO,PROPARACAINE HCL,Ophthetic, 0.5 % SO,DROPS
1317,IDOXURIDINE 0.1 % SL,IDOXURIDINE,Herplex D, 0.1 % SL,LIQUID
1686,LIDOCAINE HCL 2 % SJ,LIDOCAINE HCL,Xylocaine Viscous, 2 % SJ,SOLUTION
1694,LIDOCAINE HCL 2 % II,LIDOCAINE HCL,Xylocaine Jelly, 2 % II,JELLY(ML)
1708,LIDOCAINE HCL 10 % AS,LIDOCAINE HCL,Xylocaine Endotracheal Aerosol, 10 % AS,SPRAY
1724,LIDOCAINE HCL/PF 5 MG/ML HV,LIDOCAINE HCL/PF,Xylocaine, 5 MG/ML HV,VIAL
1732,LIDOCAINE HCL/PF 10 MG/ML HH,LIDOCAINE HCL/PF,Xylocaine, 10 MG/ML HH,AMPUL
1740,LIDOCAINE HCL 15 MG/ML HV,LIDOCAINE HCL,Xylocaine, 15 MG/ML HV,VIAL
1783,LIDOCAINE HCL/EPINEPHRINE 0.5-1:100K HV,LIDOCAINE HCL/EPINEPHRINE,Xylocaine , 0.5-1:100K HV,VIAL
1791,LIDOCAINE HCL/EPINEPHRINE BIT 1%-1:100K HV,LIDOCAINE HCL/EPINEPHRINE BIT,Xylocaine , 1%-1:100K HV,VIAL
1805,LIDOCAINE HCL/EPINEPHRINE BIT 1 %-1:200K HV,LIDOCAINE HCL/EPINEPHRINE BIT,Xylocaine , 1 %-1:200K HV,VIAL
1813,LIDOCAINE HCL/EPINEPHRINE/PF 1.5-1:200K HV,LIDOCAINE HCL/EPINEPHRINE/PF,Xylocaine , 1.5-1:200K HV,VIAL
1821,LIDOCAINE HCL/EPINEPHRINE 2 %-1:100K HV,LIDOCAINE HCL/EPINEPHRINE,Xylocaine , 2 %-1:100K HV,VIAL
1910,IRON SORBITEX 100 MG/2ML HH,IRON SORBITEX,Jectofer, 100 MG/2ML HH,AMPUL
1937,LIDOCAINE HCL/PF 20 MG/ML HH,LIDOCAINE HCL/PF,Xylocard, 20 MG/ML HH,AMPUL
1945,LIDOCAINE HCL/CETYLPYRIDINIUM  AS,LIDOCAINE HCL/CETYLPYRIDINIUM  AS,Xylocaine Oral Spray,,SPRAY
1961,LIDOCAINE 5 % OA,LIDOCAINE,Xylocaine Ointment, 5 % OA,OINT. (G)
2003,AMPICILLIN TRIHYDRATE 250 MG CA,AMPICILLIN TRIHYDRATE,Penbritin, 250 MG CA,CAPSULE
2011,AMPICILLIN TRIHYDRATE 500 MG CA,AMPICILLIN TRIHYDRATE,Penbritin, 500 MG CA,CAPSULE
2038,CLOFIBRATE 500 MG CA,CLOFIBRATE,Atromid S, 500 MG CA,CAPSULE
2046,CLOXACILLIN SODIUM 250 MG CA,CLOXACILLIN SODIUM,Orbenin, 250 MG CA,CAPSULE
2054,CLOXACILLIN SODIUM 500 MG CA,CLOXACILLIN SODIUM,Orbenin, 500 MG CA,CAPSULE
2089,"ESTROGENS, CONJUGATED 0.625 MG/G KW","ESTROGENS, CONJUGATED",Premarin, 0.625 MG/G KW,CREAM/APPL
2097,AMPICILLIN SODIUM 125 MG HS,AMPICILLIN SODIUM,Penbritin, 125 MG HS,VIAL
2100,AMPICILLIN SODIUM 250 MG HS,AMPICILLIN SODIUM,Penbritin, 250 MG HS,VIAL
2119,AMPICILLIN SODIUM 500 MG HS,AMPICILLIN SODIUM,Penbritin, 500 MG HS,VIAL
2127,AMPICILLIN SODIUM 1 G HS,AMPICILLIN SODIUM,Penbritin, 1 G HS,VIAL
2135,AMPICILLIN SODIUM 2 G HS,AMPICILLIN SODIUM,Penbritin, 2 G HS,VIAL
2143,CARBENICILLIN DISODIUM 1 G HS,CARBENICILLIN DISODIUM,Pyopen, 1 G HS,VIAL
2151,CLOXACILLIN SODIUM 250 MG HS,CLOXACILLIN SODIUM,Orbenin, 250 MG HS,VIAL
2178,CLOXACILLIN SODIUM 500 MG HS,CLOXACILLIN SODIUM,Orbenin, 500 MG HS,VIAL
2186,CLOXACILLIN SODIUM 2 G HS,CLOXACILLIN SODIUM,Orbenin, 2 G HS,VIAL
2208,PENICILLIN G POTASSIUM 1MM UNIT HS,PENICILLIN G POTASSIUM,Penicillin G Potassium, 1MM UNIT HS,VIAL
2216,PENICILLIN G POTASSIUM 5MM UNIT HS,PENICILLIN G POTASSIUM,Penicillin G Potassium, 5MM UNIT HS,VIAL
2224,PENICILLIN G POTASSIUM 10MM UNIT HS,PENICILLIN G POTASSIUM,Penicillin G Potassium, 10MM UNIT HS,VIAL
2232,PENICILLIN G SODIUM 1MM UNIT HS,PENICILLIN G SODIUM,Penicillin G Sodium, 1MM UNIT HS,VIAL
2240,PENICILLIN G SODIUM 5MM UNIT HS,PENICILLIN G SODIUM,Penicillin G Sodium, 5MM UNIT HS,VIAL
2259,PENICILLIN G SODIUM 10MM UNIT HS,PENICILLIN G SODIUM,Penicillin G Sodium, 10MM UNIT HS,VIAL
2267,PRALIDOXIME CHLORIDE 1 G HS,PRALIDOXIME CHLORIDE,Protopam Chloride, 1 G HS,VIAL
2283,"ESTROGENS, CONJUGATED 25 MG HS","ESTROGENS, CONJUGATED",Premarin, 25 MG HS,VIAL
2291,"CHORIONIC GONADOTROPIN, HUMAN 10000 UNIT HS","CHORIONIC GONADOTROPIN, HUMAN",Apl, 10000 UNIT HS,VIAL
2305,PROPRANOLOL HCL 1 MG/ML HV,PROPRANOLOL HCL,Inderal, 1 MG/ML HV,VIAL
2313,ECHOTHIOPHATE IODIDE 0.125 % SO,ECHOTHIOPHATE IODIDE,Phospholine Iodide, 0.125 % SO,DROPS
2348,ECHOTHIOPHATE IODIDE 0.25 % SO,ECHOTHIOPHATE IODIDE,Phospholine Iodide, 0.25 % SO,DROPS
2402,PENICILLIN G PROCAINE 300000/ML HV,PENICILLIN G PROCAINE,Ayercillin Suspension, 300000/ML HV,VIAL
2410,AMPICILLIN TRIHYDRATE 125 MG/5ML PD,AMPICILLIN TRIHYDRATE,Penbritin, 125 MG/5ML PD,SUSP RECON
2429,AMPICILLIN TRIHYDRATE 250 MG/5ML PD,AMPICILLIN TRIHYDRATE,Penbritin, 250 MG/5ML PD,SUSP RECON
2445,CLOXACILLIN SODIUM 125 MG/5ML PI,CLOXACILLIN SODIUM,Orbenin, 125 MG/5ML PI,SOLN RECON
2524,CROMOLYN SODIUM  PA,CROMOLYN SODIUM  PA,Pms-Sod Cromoglycate Powder,,POWDER
2526,DAPSONE 100 MG TA,DAPSONE,Avlosulfon, 100 MG TA,TABLET
2534,DISULFIRAM 250 MG TA,DISULFIRAM,Antabuse, 250 MG TA,TABLET
2542,DISULFIRAM 500 MG TA,DISULFIRAM,Antabuse, 500 MG TA,TABLET
2569,"ESTROGENS, CONJUGATED 0.3 MG TA","ESTROGENS, CONJUGATED",Premarinlets, 0.3 MG TA,TABLET
2577,"ESTROGENS, CONJUGATED 0.625 MG TA","ESTROGENS, CONJUGATED",Premarinlets, 0.625 MG TA,TABLET
2585,"ESTROGENS, CONJUGATED 1.25 MG TA","ESTROGENS, CONJUGATED",Premarinlets, 1.25 MG TA,TABLET
2593,"ESTROGENS, CONJUGATED 2.5 MG TA","ESTROGENS, CONJUGATED",Premarinlets, 2.5 MG TA,TABLET
2623,PRIMIDONE 125 MG TC,PRIMIDONE,Mysoline, 125 MG TC,TAB CHEW
2631,PRIMIDONE 250 MG TA,PRIMIDONE,Mysoline, 250 MG TA,TABLET
2658,PROPRANOLOL HCL 10 MG TA,PROPRANOLOL HCL,Inderal, 10 MG TA,TABLET
2666,PROPRANOLOL HCL 40 MG TA,PROPRANOLOL HCL,Inderal, 40 MG TA,TABLET
2690,ERGOCALCIFEROL (VITAMIN D2) 50000 UNIT CA,ERGOCALCIFEROL (VITAMIN D2),Radiostol, 50000 UNIT CA,CAPSULE
2712,BECLOMETHASONE DIPROPIONATE 0.025 % KA,BECLOMETHASONE DIPROPIONATE,Propaderm Cream, 0.025 % KA,CREAM (G)
2720,POVIDONE-IODINE 10 % JG,POVIDONE-IODINE,Bridine Vaginal Gel, 10 % JG,GEL (GRAM)
2739,PIPERAZINE ADIPATE 2 G PP,PIPERAZINE ADIPATE,Entacyl Granules, 2 G PP,PACKET
2747,AMYL NITRITE 0.3 ML HH,AMYL NITRITE,Amylnitrite Glass, 0.3 ML HH,AMPUL
2773,METHADONE HCL 100 % PA,METHADONE HCL,Pms-Methadone Hcl Powder, 100 % PA,POWDER
2909,CYANOCOBALAMIN (VITAMIN B-12) 1000MCG/ML HV,CYANOCOBALAMIN (VITAMIN B-12),Anacobin, 1000MCG/ML HV,VIAL
2925,ERGONOVINE MALEATE 0.25 MG/ML HH,ERGONOVINE MALEATE,Ergometrine, 0.25 MG/ML HH,AMPUL
2933,ERGONOVINE MALEATE 0.5 MG/ML HH,ERGONOVINE MALEATE,Ergometrine, 0.5 MG/ML HH,AMPUL
2974,COCAINE HCL 100 % PC,COCAINE HCL,Pms-Cocaine Powder, 100 % PC,CRYSTALS
3033,CALCIUM GLUCONATE 2.5 % JG,CALCIUM GLUCONATE,Calcium Gluconate, 2.5 % JG,GEL (GRAM)
3093,ERGOCALCIFEROL (VITAMIN D2) 100000/ML SL,ERGOCALCIFEROL (VITAMIN D2),Radiostol Solution, 100000/ML SL,LIQUID
3107,ERGOCALCIFEROL (VITAMIN D2) 300000/ML SL,ERGOCALCIFEROL (VITAMIN D2),Radiostol Forte, 300000/ML SL,LIQUID
3131,PIPERAZINE ADIPATE 600 MG/5ML SC,PIPERAZINE ADIPATE,Entacyl Susp, 600 MG/5ML SC,ORAL SUSP
3158,METHDILAZINE HCL 4 MG/5 ML ST,METHDILAZINE HCL,Dilosyn Syrup, 4 MG/5 ML ST,SYRUP
3212,CARBACHOL 2 MG TA,CARBACHOL,Carbachol, 2 MG TA,TABLET
3220,CODEINE PHOSPHATE 15 MG TB,CODEINE PHOSPHATE,Codeine Phosphate, 15 MG TB,TABLET SOL
3239,CODEINE PHOSPHATE 30 MG TH,CODEINE PHOSPHATE,Codeine Phosphate, 30 MG TH,TABLET HYP
3247,CODEINE PHOSPHATE 60 MG TH,CODEINE PHOSPHATE,Codeine Phosphate, 60 MG TH,TABLET HYP
3336,DIETHYLSTILBESTROL 0.1 MG TA,DIETHYLSTILBESTROL,Stilboestrol, 0.1 MG TA,TABLET
3352,DIETHYLSTILBESTROL 0.5 MG TA,DIETHYLSTILBESTROL,Stilboestrol, 0.5 MG TA,TABLET
3360,DIETHYLSTILBESTROL 1 MG TA,DIETHYLSTILBESTROL,Stilboestrol, 1 MG TA,TABLET
3379,DIETHYLSTILBESTROL 5 MG TA,DIETHYLSTILBESTROL,Stilboestrol, 5 MG TA,TABLET
3492,FOLIC ACID 5 MG TA,FOLIC ACID,Folvite, 5 MG TA,TABLET
3506,MEPERIDINE HCL 50 MG TA,MEPERIDINE HCL,Pethidine Hcl, 50 MG TA,TABLET
3611,QUINIDINE SULFATE 200 MG TA,QUINIDINE SULFATE,Quinidine Sulphate, 200 MG TA,TABLET
3662,NITROGLYCERIN 0.6 MG TU,NITROGLYCERIN,Nitroglycerin, 0.6 MG TU,TAB SUBL
3859,ORCIPRENALINE SULFATE 50 MG/ML SA,ORCIPRENALINE SULFATE,Alupent, 50 MG/ML SA,SOLUTION
3867,BISACODYL 5 MG QA,BISACODYL,Dulcolax, 5 MG QA,SUPP.RECT
3875,BISACODYL 10 MG QA,BISACODYL,Dulcolax, 10 MG QA,SUPP.RECT
3891,ORCIPRENALINE SULFATE 20 MG TA,ORCIPRENALINE SULFATE,Alupent, 20 MG TA,TABLET
3964,DICLOXACILLIN SODIUM 250 MG CA,DICLOXACILLIN SODIUM,Dynapen, 250 MG CA,CAPSULE
4286,DICLOXACILLIN SODIUM 62.5MG/5ML PD,DICLOXACILLIN SODIUM,Dynapen, 62.5MG/5ML PD,SUSP RECON
4405,PROCYCLIDINE HCL 2.5 MG/5ML SE,PROCYCLIDINE HCL,Kemadrin Elx, 2.5 MG/5ML SE,ELIXIR
4421,POLYMYXIN B SULFATE 500K UNIT HS,POLYMYXIN B SULFATE,Aerosporin Sterile Powder, 500K UNIT HS,VIAL
4448,CYCLIZINE LACTATE 50 MG/ML HH,CYCLIZINE LACTATE,Marzine, 50 MG/ML HH,AMPUL
4456,DIGOXIN 0.05 MG/ML HH,DIGOXIN,Lanoxin, 0.05 MG/ML HH,AMPUL
4464,DIGOXIN 0.25 MG/ML HH,DIGOXIN,Lanoxin, 0.25 MG/ML HH,AMPUL
4480,METHOXAMINE HCL 20 MG/ML HH,METHOXAMINE HCL,Vasoxyl, 20 MG/ML HH,AMPUL
4502,MELPHALAN HCL 100 MG HS,MELPHALAN HCL,Alkeran, 100 MG HS,VIAL
4561,PSEUDOEPHEDRINE HCL 30 MG/5 ML ST,PSEUDOEPHEDRINE HCL,Sudafed Syr, 30 MG/5 ML ST,SYRUP
4588,ALLOPURINOL 100 MG TA,ALLOPURINOL,Zyloprim, 100 MG TA,TABLET
4596,AZATHIOPRINE 50 MG TA,AZATHIOPRINE,Imuran, 50 MG TA,TABLET
4618,BUSULFAN 2 MG TA,BUSULFAN,Myleran, 2 MG TA,TABLET
4626,CHLORAMBUCIL 2 MG TA,CHLORAMBUCIL,Leukeran, 2 MG TA,TABLET
4685,DIGOXIN 0.25 MG TA,DIGOXIN,Lanoxin, 0.25 MG TA,TABLET
4715,MELPHALAN 2 MG TA,MELPHALAN,Alkeran, 2 MG TA,TABLET
4723,MERCAPTOPURINE 50 MG TA,MERCAPTOPURINE,Purinethol, 50 MG TA,TABLET
4758,PROCYCLIDINE HCL 5 MG TA,PROCYCLIDINE HCL,Kemadrin, 5 MG TA,TABLET
4766,PSEUDOEPHEDRINE HCL 60 MG TA,PSEUDOEPHEDRINE HCL,Sudafed, 60 MG TA,TABLET
4774,PYRIMETHAMINE 25 MG TA,PYRIMETHAMINE,Daraprim, 25 MG TA,TABLET
4863,BACITRACIN/POLYMYXIN B SULFATE 500-10K/G OA,BACITRACIN/POLYMYXIN B SULFATE,Polysporin Topical First Aid Antibiotic Ointment, 500-10K/G OA,OINT. (G)
4898,ZINC OXIDE 15 % KA,ZINC OXIDE,Zincofax Display, 15 % KA,CREAM (G)
4952,FERROUS SUCCINATE 100 MG TA,FERROUS SUCCINATE,Cerevon, 100 MG TA,TABLET
5096,BENZONATATE 100 MG CA,BENZONATATE,Tessalon, 100 MG CA,CAPSULE
5134,FLUMETHASONE PIVALATE 0.03 % KA,FLUMETHASONE PIVALATE,Locacorten, 0.03 % KA,CREAM (G)
5142,CLIOQUINOL 3 % KA,CLIOQUINOL,Vioform, 3 % KA,CREAM (G)
5185,METHYLPHENIDATE HCL 20 MG HR,METHYLPHENIDATE HCL,Ritalin Ampoules, 20 MG HR,AMPUL
5193,PHENTOLAMINE MESYLATE 5 MG HS,PHENTOLAMINE MESYLATE,Rogitine, 5 MG HS,VIAL
5223,NAPHAZOLINE HCL 0.05 % AS,NAPHAZOLINE HCL,Privine, 0.05 % AS,SPRAY
5231,XYLOMETAZOLINE HCL 0.05 % AU,XYLOMETAZOLINE HCL,Otrivin Pediatric, 0.05 % AU,SPRAY
5258,XYLOMETAZOLINE HCL 0.1 % AU,XYLOMETAZOLINE HCL,Otrivin, 0.1 % AU,SPRAY
5274,HYDRALAZINE HCL 20 MG/ML HV,HYDRALAZINE HCL,Apresoline, 20 MG/ML HV,VIAL
5347,NAPHAZOLINE HCL 0.05 % SO,NAPHAZOLINE HCL,Privine Solution, 0.05 % SO,DROPS
5355,XYLOMETAZOLINE HCL 0.05 % SO,XYLOMETAZOLINE HCL,Otrivin Pediatric Nas Soln, 0.05 % SO,DROPS
5363,XYLOMETAZOLINE HCL 0.1 % SO,XYLOMETAZOLINE HCL,Otrivin Nas Soln, 0.1 % SO,DROPS
5436,ANTAZOLINE HCL 100 MG TA,ANTAZOLINE HCL,Antistine, 100 MG TA,TABLET
5495,GLUTETHIMIDE 500 MG TA,GLUTETHIMIDE,Doriden, 500 MG TA,TABLET
5509,GUANETHIDINE SULFATE 10 MG TA,GUANETHIDINE SULFATE,Ismelin, 10 MG TA,TABLET
5517,GUANETHIDINE SULFATE 25 MG TA,GUANETHIDINE SULFATE,Ismelin, 25 MG TA,TABLET
5525,HYDRALAZINE HCL 10 MG TA,HYDRALAZINE HCL,"Apresolinelets,", 10 MG TA,TABLET
5533,HYDRALAZINE HCL 25 MG TA,HYDRALAZINE HCL,"Apresolinelets,", 25 MG TA,TABLET
5541,HYDRALAZINE HCL 50 MG TA,HYDRALAZINE HCL,"Apresolinelets,", 50 MG TA,TABLET
5568,HYDROCHLOROTHIAZIDE 25 MG TA,HYDROCHLOROTHIAZIDE,Hydrodiuril, 25 MG TA,TABLET
5606,METHYLPHENIDATE HCL 10 MG TA,METHYLPHENIDATE HCL,Ritalin, 10 MG TA,TABLET
5614,METHYLPHENIDATE HCL 20 MG TA,METHYLPHENIDATE HCL,Ritalin, 20 MG TA,TABLET
5622,METHYLTESTOSTERONE 10 MG TA,METHYLTESTOSTERONE,Metandren, 10 MG TA,TABLET
5630,METHYLTESTOSTERONE 25 MG TA,METHYLTESTOSTERONE,Metandren, 25 MG TA,TABLET
5657,RESERPINE 0.1 MG TA,RESERPINE,Serpasil, 0.1 MG TA,TABLET
5665,RESERPINE 0.25 MG TA,RESERPINE,Serpasil, 0.25 MG TA,TABLET
5681,TOLAZOLINE HCL 25 MG TA,TOLAZOLINE HCL,Priscoline, 25 MG TA,TABLET
5703,TRIPELENNAMINE HCL 50 MG TA,TRIPELENNAMINE HCL,Pyribenzamine, 50 MG TA,TABLET
5746,METHYLTESTOSTERONE 10 MG TV,METHYLTESTOSTERONE,Metandren, 10 MG TV,TAB BUCCAL
5789,FLUMETHASONE PIVALATE 0.03 % OA,FLUMETHASONE PIVALATE,Locacorten, 0.03 % OA,OINT. (G)
5797,CLIOQUINOL 3 % OA,CLIOQUINOL,Vioform, 3 % OA,OINT. (G)
6149,ESTRONE 0.1 % KW,ESTRONE,Oestrilin Creme Vaginale, 0.1 % KW,CREAM/APPL
6211,ESTRONE 250 MCG QC,ESTRONE,Oestrilin Cones Vaginaux, 250 MCG QC,SUPP.VAG
7269,METHOXSALEN 10 MG CA,METHOXSALEN,Oxsoralensules, 10 MG CA,CAPSULE
7277,SUNSCREEN/HYDROQUINONE 2 % KA,SUNSCREEN/HYDROQUINONE,Eldopaque, 2 % KA,CREAM (G)
7285,METHOXSALEN 1 % SK,METHOXSALEN,Oxsoralen Lotion, 1 % SK,LOTION
7307,AMINOBENZOIC ACID 5 % SK,AMINOBENZOIC ACID,Pabanol, 5 % SK,LOTION
7315,HYDROQUINONE 2 % KA,HYDROQUINONE,Solaquin, 2 % KA,CREAM (G)
7323,HYDROQUINONE/PABA/SUNSCREEN 4 % KA,HYDROQUINONE/PABA/SUNSCREEN,Solaquin Forte, 4 % KA,CREAM (G)
7331,MONOBENZONE 20 % KA,MONOBENZONE,Benoquin, 20 % KA,CREAM (G)
9598,IRON DEXTRAN COMPLEX 100 MG/2ML HV,IRON DEXTRAN COMPLEX,Imferon, 100 MG/2ML HV,VIAL
9601,LEVOTHYROXINE SODIUM 500 MCG HS,LEVOTHYROXINE SODIUM,Synthroid For, 500 MCG HS,VIAL
9636,DEXTROTHYROXINE SODIUM 4 MG TA,DEXTROTHYROXINE SODIUM,Choloxinlet, 4 MG TA,TABLET
9644,LEVOTHYROXINE SODIUM 25 MCG TA,LEVOTHYROXINE SODIUM,Synthroid, 25 MCG TA,TABLET
9652,LEVOTHYROXINE SODIUM 50 MCG TA,LEVOTHYROXINE SODIUM,Synthroid, 50 MCG TA,TABLET
9660,LEVOTHYROXINE SODIUM 100 MCG TA,LEVOTHYROXINE SODIUM,Synthroid, 100 MCG TA,TABLET
9687,LEVOTHYROXINE SODIUM 200 MCG TA,LEVOTHYROXINE SODIUM,Synthroid, 200 MCG TA,TABLET
9695,LEVOTHYROXINE SODIUM 300 MCG TA,LEVOTHYROXINE SODIUM,Synthroid, 300 MCG TA,TABLET
9857,ANILERIDINE PHOSPHATE 25 MG/ML HH,ANILERIDINE PHOSPHATE,Leritine, 25 MG/ML HH,AMPUL
9881,PAPAVERINE HCL 65 MG/2 ML HV,PAPAVERINE HCL,Papaverine Hydrochlorideection Usp, 65 MG/2 ML HV,VIAL
9911,"SODIUM PHOSPHATE,MONO-DIBASIC 19.2-7.2 G SF","SODIUM PHOSPHATE,MONO-DIBASIC",Fleet Enema, 19.2-7.2 G SF,ENEMA
9938,PENICILLIN G BENZATHINE 500000/5ML SC,PENICILLIN G BENZATHINE,Megacillin, 500000/5ML SC,ORAL SUSP
9989,CYPROHEPTADINE HCL 2 MG/5 ML ST,CYPROHEPTADINE HCL,Periactin Syr, 2 MG/5 ML ST,SYRUP
10014,ANILERIDINE HCL 25 MG TA,ANILERIDINE HCL,Leritinelets, 25 MG TA,TABLET
10081,PROPOXYPHENE HCL 65 MG TA,PROPOXYPHENE HCL,642, 65 MG TA,TABLET
10154,PAPAVERINE HCL 100 MG TA,PAPAVERINE HCL,Papaverine Hcl, 100 MG TA,TABLET
10200,PROPYLTHIOURACIL 50 MG TA,PROPYLTHIOURACIL,Propyl-Thyracil, 50 MG TA,TABLET
10219,PROPYLTHIOURACIL 100 MG TA,PROPYLTHIOURACIL,Propyl-Thyracil, 100 MG TA,TABLET
10308,WARFARIN SODIUM 5 MG TA,WARFARIN SODIUM,Warfilone, 5 MG TA,TABLET
10332,ACETYLSALICYLIC ACID 325 MG TE,ACETYLSALICYLIC ACID,Entrophen, 325 MG TE,TABLET DR
10340,ACETYLSALICYLIC ACID 650 MG TE,ACETYLSALICYLIC ACID,Entrophen Ect, 650 MG TE,TABLET DR
10375,CROTAMITON 10 % KA,CROTAMITON,Eurax, 10 % KA,CREAM (G)
10383,ACENOCOUMAROL 1 MG TA,ACENOCOUMAROL,Sintrom, 1 MG TA,TABLET
10391,ACENOCOUMAROL 4 MG TA,ACENOCOUMAROL,Sintrom, 4 MG TA,TABLET
10405,CARBAMAZEPINE 200 MG TA,CARBAMAZEPINE,Tegretol, 200 MG TA,TABLET
10413,CHLORTHALIDONE 50 MG TA,CHLORTHALIDONE,Hygroton, 50 MG TA,TABLET
10421,CHLORTHALIDONE 100 MG TA,CHLORTHALIDONE,Hygroton, 100 MG TA,TABLET
10448,DESIPRAMINE HCL 25 MG TA,DESIPRAMINE HCL,Pertofrane, 25 MG TA,TABLET
10464,IMIPRAMINE HCL 10 MG TA,IMIPRAMINE HCL,Tofranil, 10 MG TA,TABLET
10472,IMIPRAMINE HCL 25 MG TA,IMIPRAMINE HCL,Tofranil, 25 MG TA,TABLET
10480,IMIPRAMINE HCL 50 MG TA,IMIPRAMINE HCL,Tofranil, 50 MG TA,TABLET
10502,PHENYLBUTAZONE 100 MG TA,PHENYLBUTAZONE,Butazolidin, 100 MG TA,TABLET
10510,SULFINPYRAZONE 100 MG TA,SULFINPYRAZONE,Anturan, 100 MG TA,TABLET
10529,SULFINPYRAZONE 200 MG TA,SULFINPYRAZONE,Anturan, 200 MG TA,TABLET
10537,PHENYLBUT/MAG TRIS/ALUMINUM  TA,PHENYLBUT/MAG TRIS/ALUMINUM  TA,Alka Butazolidin,,TABLET
