FullName,GenericName,Dosage
DAPSONE 100 MG TA,DAPSONE, 100 MG TA
DISULFIRAM 250 MG TA,DISULFIRAM, 250 MG TA
DISULFIRAM 500 MG TA,DISULFIRAM, 500 MG TA
"ESTROGENS, CONJUGATED 0.3 MG TA","ESTROGENS, CONJUGATED", 0.3 MG TA
"ESTROGENS, CONJUGATED 0.625 MG TA","ESTROGENS, CONJUGATED", 0.625 MG TA
"ESTROGENS, CONJUGATED 1.25 MG TA","ESTROGENS, CONJUGATED", 1.25 MG TA
"ESTROGENS, CONJUGATED 2.5 MG TA","ESTROGENS, CONJUGATED", 2.5 MG TA
PRIMIDONE 125 MG TC,PRIMIDONE, 125 MG TC
PRIMIDONE 250 MG TA,PRIMIDONE, 250 MG TA
PROPRANOLOL HCL 10 MG TA,PROPRANOLOL HCL, 10 MG TA
PROPRANOLOL HCL 40 MG TA,PROPRANOLOL HCL, 40 MG TA
ERGOCALCIFEROL (VITAMIN D2) 50000 UNIT CA,ERGOCALCIFEROL (VITAMIN D2), 50000 UNIT CA
BECLOMETHASONE DIPROPIONATE 0.025 % KA,BECLOMETHASONE DIPROPIONATE, 0.025 % KA
POVIDONE-IODINE 10 % JG,POVIDONE-IODINE, 10 % JG
PIPERAZINE ADIPATE 2 G PP,PIPERAZINE ADIPATE, 2 G PP
AMYL NITRITE 0.3 ML HH,AMYL NITRITE, 0.3 ML HH
METHADONE HCL 100 % PA,METHADONE HCL, 100 % PA
CYANOCOBALAMIN (VITAMIN B-12) 1000MCG/ML HV,CYANOCOBALAMIN (VITAMIN B-12), 1000MCG/ML HV
ERGONOVINE MALEATE 0.25 MG/ML HH,ERGONOVINE MALEATE, 0.25 MG/ML HH
ERGONOVINE MALEATE 0.5 MG/ML HH,ERGONOVINE MALEATE, 0.5 MG/ML HH
COCAINE HCL 100 % PC,COCAINE HCL, 100 % PC
CALCIUM GLUCONATE 2.5 % JG,CALCIUM GLUCONATE, 2.5 % JG
ERGOCALCIFEROL (VITAMIN D2) 100000/ML SL,ERGOCALCIFEROL (VITAMIN D2), 100000/ML SL
ERGOCALCIFEROL (VITAMIN D2) 300000/ML SL,ERGOCALCIFEROL (VITAMIN D2), 300000/ML SL
PIPERAZINE ADIPATE 600 MG/5ML SC,PIPERAZINE ADIPATE, 600 MG/5ML SC
METHDILAZINE HCL 4 MG/5 ML ST,METHDILAZINE HCL, 4 MG/5 ML ST
CARBACHOL 2 MG TA,CARBACHOL, 2 MG TA
CODEINE PHOSPHATE 15 MG TB,CODEINE PHOSPHATE, 15 MG TB
CODEINE PHOSPHATE 30 MG TH,CODEINE PHOSPHATE, 30 MG TH
CODEINE PHOSPHATE 60 MG TH,CODEINE PHOSPHATE, 60 MG TH
DIETHYLSTILBESTROL 0.1 MG TA,DIETHYLSTILBESTROL, 0.1 MG TA
DIETHYLSTILBESTROL 0.5 MG TA,DIETHYLSTILBESTROL, 0.5 MG TA
DIETHYLSTILBESTROL 1 MG TA,DIETHYLSTILBESTROL, 1 MG TA
DIETHYLSTILBESTROL 5 MG TA,DIETHYLSTILBESTROL, 5 MG TA
FOLIC ACID 5 MG TA,FOLIC ACID, 5 MG TA
MEPERIDINE HCL 50 MG TA,MEPERIDINE HCL, 50 MG TA
QUINIDINE SULFATE 200 MG TA,QUINIDINE SULFATE, 200 MG TA
NITROGLYCERIN 0.6 MG TU,NITROGLYCERIN, 0.6 MG TU
ORCIPRENALINE SULFATE 50 MG/ML SA,ORCIPRENALINE SULFATE, 50 MG/ML SA
BISACODYL 5 MG QA,BISACODYL, 5 MG QA
BISACODYL 10 MG QA,BISACODYL, 10 MG QA
ORCIPRENALINE SULFATE 20 MG TA,ORCIPRENALINE SULFATE, 20 MG TA
DICLOXACILLIN SODIUM 250 MG CA,DICLOXACILLIN SODIUM, 250 MG CA
DICLOXACILLIN SODIUM 62.5MG/5ML PD,DICLOXACILLIN SODIUM, 62.5MG/5ML PD
PROCYCLIDINE HCL 2.5 MG/5ML SE,PROCYCLIDINE HCL, 2.5 MG/5ML SE
POLYMYXIN B SULFATE 500K UNIT HS,POLYMYXIN B SULFATE, 500K UNIT HS
CYCLIZINE LACTATE 50 MG/ML HH,CYCLIZINE LACTATE, 50 MG/ML HH
DIGOXIN 0.05 MG/ML HH,DIGOXIN, 0.05 MG/ML HH
DIGOXIN 0.25 MG/ML HH,DIGOXIN, 0.25 MG/ML HH
METHOXAMINE HCL 20 MG/ML HH,METHOXAMINE HCL, 20 MG/ML HH
MELPHALAN HCL 100 MG HS,MELPHALAN HCL, 100 MG HS
PSEUDOEPHEDRINE HCL 30 MG/5 ML ST,PSEUDOEPHEDRINE HCL, 30 MG/5 ML ST
ALLOPURINOL 100 MG TA,ALLOPURINOL, 100 MG TA
AZATHIOPRINE 50 MG TA,AZATHIOPRINE, 50 MG TA
BUSULFAN 2 MG TA,BUSULFAN, 2 MG TA
CHLORAMBUCIL 2 MG TA,CHLORAMBUCIL, 2 MG TA
DIGOXIN 0.25 MG TA,DIGOXIN, 0.25 MG TA
MELPHALAN 2 MG TA,MELPHALAN, 2 MG TA
MERCAPTOPURINE 50 MG TA,MERCAPTOPURINE, 50 MG TA
PROCYCLIDINE HCL 5 MG TA,PROCYCLIDINE HCL, 5 MG TA
PSEUDOEPHEDRINE HCL 60 MG TA,PSEUDOEPHEDRINE HCL, 60 MG TA
PYRIMETHAMINE 25 MG TA,PYRIMETHAMINE, 25 MG TA
BACITRACIN/POLYMYXIN B SULFATE 500-10K/G OA,BACITRACIN/POLYMYXIN B SULFATE, 500-10K/G OA
ZINC OXIDE 15 % KA,ZINC OXIDE, 15 % KA
FERROUS SUCCINATE 100 MG TA,FERROUS SUCCINATE, 100 MG TA
BENZONATATE 100 MG CA,BENZONATATE, 100 MG CA
FLUMETHASONE PIVALATE 0.03 % KA,FLUMETHASONE PIVALATE, 0.03 % KA
CLIOQUINOL 3 % KA,CLIOQUINOL, 3 % KA
METHYLPHENIDATE HCL 20 MG HR,METHYLPHENIDATE HCL, 20 MG HR
PHENTOLAMINE MESYLATE 5 MG HS,PHENTOLAMINE MESYLATE, 5 MG HS
NAPHAZOLINE HCL 0.05 % AS,NAPHAZOLINE HCL, 0.05 % AS
XYLOMETAZOLINE HCL 0.05 % AU,XYLOMETAZOLINE HCL, 0.05 % AU
XYLOMETAZOLINE HCL 0.1 % AU,XYLOMETAZOLINE HCL, 0.1 % AU
HYDRALAZINE HCL 20 MG/ML HV,HYDRALAZINE HCL, 20 MG/ML HV
NAPHAZOLINE HCL 0.05 % SO,NAPHAZOLINE HCL, 0.05 % SO
XYLOMETAZOLINE HCL 0.05 % SO,XYLOMETAZOLINE HCL, 0.05 % SO
XYLOMETAZOLINE HCL 0.1 % SO,XYLOMETAZOLINE HCL, 0.1 % SO
ANTAZOLINE HCL 100 MG TA,ANTAZOLINE HCL, 100 MG TA
GLUTETHIMIDE 500 MG TA,GLUTETHIMIDE, 500 MG TA
GUANETHIDINE SULFATE 10 MG TA,GUANETHIDINE SULFATE, 10 MG TA
GUANETHIDINE SULFATE 25 MG TA,GUANETHIDINE SULFATE, 25 MG TA
HYDRALAZINE HCL 10 MG TA,HYDRALAZINE HCL, 10 MG TA
HYDRALAZINE HCL 25 MG TA,HYDRALAZINE HCL, 25 MG TA
HYDRALAZINE HCL 50 MG TA,HYDRALAZINE HCL, 50 MG TA
HYDROCHLOROTHIAZIDE 25 MG TA,HYDROCHLOROTHIAZIDE, 25 MG TA
METHYLPHENIDATE HCL 10 MG TA,METHYLPHENIDATE HCL, 10 MG TA
METHYLPHENIDATE HCL 20 MG TA,METHYLPHENIDATE HCL, 20 MG TA
METHYLTESTOSTERONE 10 MG TA,METHYLTESTOSTERONE, 10 MG TA
METHYLTESTOSTERONE 25 MG TA,METHYLTESTOSTERONE, 25 MG TA
RESERPINE 0.1 MG TA,RESERPINE, 0.1 MG TA
RESERPINE 0.25 MG TA,RESERPINE, 0.25 MG TA
TOLAZOLINE HCL 25 MG TA,TOLAZOLINE HCL, 25 MG TA
TRIPELENNAMINE HCL 50 MG TA,TRIPELENNAMINE HCL, 50 MG TA
METHYLTESTOSTERONE 10 MG TV,METHYLTESTOSTERONE, 10 MG TV
FLUMETHASONE PIVALATE 0.03 % OA,FLUMETHASONE PIVALATE, 0.03 % OA
CLIOQUINOL 3 % OA,CLIOQUINOL, 3 % OA
ESTRONE 0.1 % KW,ESTRONE, 0.1 % KW
ESTRONE 250 MCG QC,ESTRONE, 250 MCG QC
METHOXSALEN 10 MG CA,METHOXSALEN, 10 MG CA
SUNSCREEN/HYDROQUINONE 2 % KA,SUNSCREEN/HYDROQUINONE, 2 % KA
METHOXSALEN 1 % SK,METHOXSALEN, 1 % SK
AMINOBENZOIC ACID 5 % SK,AMINOBENZOIC ACID, 5 % SK
HYDROQUINONE 2 % KA,HYDROQUINONE, 2 % KA
HYDROQUINONE/PABA/SUNSCREEN 4 % KA,HYDROQUINONE/PABA/SUNSCREEN, 4 % KA
MONOBENZONE 20 % KA,MONOBENZONE, 20 % KA
IRON DEXTRAN COMPLEX 100 MG/2ML HV,IRON DEXTRAN COMPLEX, 100 MG/2ML HV
LEVOTHYROXINE SODIUM 500 MCG HS,LEVOTHYROXINE SODIUM, 500 MCG HS
DEXTROTHYROXINE SODIUM 4 MG TA,DEXTROTHYROXINE SODIUM, 4 MG TA
LEVOTHYROXINE SODIUM 25 MCG TA,LEVOTHYROXINE SODIUM, 25 MCG TA
LEVOTHYROXINE SODIUM 50 MCG TA,LEVOTHYROXINE SODIUM, 50 MCG TA
LEVOTHYROXINE SODIUM 100 MCG TA,LEVOTHYROXINE SODIUM, 100 MCG TA
LEVOTHYROXINE SODIUM 200 MCG TA,LEVOTHYROXINE SODIUM, 200 MCG TA
LEVOTHYROXINE SODIUM 300 MCG TA,LEVOTHYROXINE SODIUM, 300 MCG TA
ANILERIDINE PHOSPHATE 25 MG/ML HH,ANILERIDINE PHOSPHATE, 25 MG/ML HH
PAPAVERINE HCL 65 MG/2 ML HV,PAPAVERINE HCL, 65 MG/2 ML HV
"SODIUM PHOSPHATE,MONO-DIBASIC 19.2-7.2 G SF","SODIUM PHOSPHATE,MONO-DIBASIC", 19.2-7.2 G SF
PENICILLIN G BENZATHINE 500000/5ML SC,PENICILLIN G BENZATHINE, 500000/5ML SC
CYPROHEPTADINE HCL 2 MG/5 ML ST,CYPROHEPTADINE HCL, 2 MG/5 ML ST
ANILERIDINE HCL 25 MG TA,ANILERIDINE HCL, 25 MG TA
PROPOXYPHENE HCL 65 MG TA,PROPOXYPHENE HCL, 65 MG TA
PAPAVERINE HCL 100 MG TA,PAPAVERINE HCL, 100 MG TA
PROPYLTHIOURACIL 50 MG TA,PROPYLTHIOURACIL, 50 MG TA
PROPYLTHIOURACIL 100 MG TA,PROPYLTHIOURACIL, 100 MG TA
WARFARIN SODIUM 5 MG TA,WARFARIN SODIUM, 5 MG TA
ACETYLSALICYLIC ACID 325 MG TE,ACETYLSALICYLIC ACID, 325 MG TE
ACETYLSALICYLIC ACID 650 MG TE,ACETYLSALICYLIC ACID, 650 MG TE
CROTAMITON 10 % KA,CROTAMITON, 10 % KA
ACENOCOUMAROL 1 MG TA,ACENOCOUMAROL, 1 MG TA
ACENOCOUMAROL 4 MG TA,ACENOCOUMAROL, 4 MG TA
CARBAMAZEPINE 200 MG TA,CARBAMAZEPINE, 200 MG TA
CHLORTHALIDONE 50 MG TA,CHLORTHALIDONE, 50 MG TA
CHLORTHALIDONE 100 MG TA,CHLORTHALIDONE, 100 MG TA
DESIPRAMINE HCL 25 MG TA,DESIPRAMINE HCL, 25 MG TA
IMIPRAMINE HCL 10 MG TA,IMIPRAMINE HCL, 10 MG TA
IMIPRAMINE HCL 25 MG TA,IMIPRAMINE HCL, 25 MG TA
IMIPRAMINE HCL 50 MG TA,IMIPRAMINE HCL, 50 MG TA
PHENYLBUTAZONE 100 MG TA,PHENYLBUTAZONE, 100 MG TA
SULFINPYRAZONE 100 MG TA,SULFINPYRAZONE, 100 MG TA
SULFINPYRAZONE 200 MG TA,SULFINPYRAZONE, 200 MG TA
PHENYLBUT/MAG TRIS/ALUMINUM  TA,PHENYLBUT/MAG TRIS/ALUMINUM  TA,
BETAMETHASONE VALERATE 0.05 % KA,BETAMETHASONE VALERATE, 0.05 % KA
BETAMETHASONE VALERATE 0.1 % KA,BETAMETHASONE VALERATE, 0.1 % KA
BETAMETHASONE VALERATE 0.05 % SK,BETAMETHASONE VALERATE, 0.05 % SK
BETAMETHASONE VALERATE 0.1 % SK,BETAMETHASONE VALERATE, 0.1 % SK
AMINOPHYLLINE 250MG/10ML HV,AMINOPHYLLINE, 250MG/10ML HV
AMINOPHYLLINE 50 MG/ML HH,AMINOPHYLLINE, 50 MG/ML HH
ATROPINE SULFATE 0.6 MG/ML HV,ATROPINE SULFATE, 0.6 MG/ML HV
CALCIUM GLUCONATE 100 MG/ML HV,CALCIUM GLUCONATE, 100 MG/ML HV
PARALDEHYDE 100 % HH,PARALDEHYDE, 100 % HH
BETAMETHASONE SODIUM PHOSPHATE 0.1 % SO,BETAMETHASONE SODIUM PHOSPHATE, 0.1 % SO
BETAMETHASONE SODIUM PHOSPHATE 5 MG/100ML SF,BETAMETHASONE SODIUM PHOSPHATE, 5 MG/100ML SF
BETAMETHASONE 500 MCG TA,BETAMETHASONE, 500 MCG TA
"GRISEOFULVIN, MICROSIZE 125 MG TA","GRISEOFULVIN, MICROSIZE", 125 MG TA
"GRISEOFULVIN, MICROSIZE 250 MG TA","GRISEOFULVIN, MICROSIZE", 250 MG TA
"GRISEOFULVIN, MICROSIZE 500 MG TA","GRISEOFULVIN, MICROSIZE", 500 MG TA
BACITRACIN 500 UNIT/G OA,BACITRACIN, 500 UNIT/G OA
BETAMETHASONE VALERATE 0.05 % OA,BETAMETHASONE VALERATE, 0.05 % OA
BETAMETHASONE VALERATE 0.1 % OA,BETAMETHASONE VALERATE, 0.1 % OA
DOCUSATE CALCIUM 50 MG CA,DOCUSATE CALCIUM, 50 MG CA
DOCUSATE CALCIUM 240 MG CA,DOCUSATE CALCIUM, 240 MG CA
ROLITETRACYCLINE 275 MG HS,ROLITETRACYCLINE, 275 MG HS
FUROSEMIDE 40 MG TA,FUROSEMIDE, 40 MG TA
GLYBURIDE 5 MG TA,GLYBURIDE, 5 MG TA
TOLBUTAMIDE 500 MG TA,TOLBUTAMIDE, 500 MG TA
TOLBUTAMIDE 1 G TA,TOLBUTAMIDE, 1 G TA
CHLORDIAZEPOXIDE HCL 5 MG CA,CHLORDIAZEPOXIDE HCL, 5 MG CA
CHLORDIAZEPOXIDE HCL 10 MG CA,CHLORDIAZEPOXIDE HCL, 10 MG CA
CHLORDIAZEPOXIDE HCL 25 MG CA,CHLORDIAZEPOXIDE HCL, 25 MG CA
FLURAZEPAM HCL 15 MG CA,FLURAZEPAM HCL, 15 MG CA
FLURAZEPAM HCL 30 MG CA,FLURAZEPAM HCL, 30 MG CA
METHYPRYLON 300 MG CA,METHYPRYLON, 300 MG CA
PROCARBAZINE HCL 50 MG CA,PROCARBAZINE HCL, 50 MG CA
CHLORDIAZEPOXIDE HCL 100 MG HR,CHLORDIAZEPOXIDE HCL, 100 MG HR
ALPHAPRODINE HCL 40 MG/ML HH,ALPHAPRODINE HCL, 40 MG/ML HH
ALPHAPRODINE HCL 60 MG/ML HV,ALPHAPRODINE HCL, 60 MG/ML HV
ASCORBIC ACID 250 MG/ML HV,ASCORBIC ACID, 250 MG/ML HV
DIAZEPAM 5 MG/ML HH,DIAZEPAM, 5 MG/ML HH
FLUOROURACIL 5 G/100 ML HV,FLUOROURACIL, 5 G/100 ML HV
LEVORPHANOL TARTRATE 2 MG/ML HH,LEVORPHANOL TARTRATE, 2 MG/ML HH
MENADIOL SODIUM DIPHOSPHATE 5 MG/ML HH,MENADIOL SODIUM DIPHOSPHATE, 5 MG/ML HH
MENADIOL SODIUM DIPHOSPHATE 10 MG/ML HH,MENADIOL SODIUM DIPHOSPHATE, 10 MG/ML HH
NEOSTIGMINE METHYLSULFATE 0.5 MG/ML HV,NEOSTIGMINE METHYLSULFATE, 0.5 MG/ML HV
OPIUM 20 MG/ML HH,OPIUM, 20 MG/ML HH
PHYTONADIONE (VIT K1) 1MG/0.5ML HH,PHYTONADIONE (VIT K1), 1MG/0.5ML HH
EDROPHONIUM CHLORIDE 10 MG/ML HV,EDROPHONIUM CHLORIDE, 10 MG/ML HV
TRIMETHAPHAN CAMSYLATE 50 MG/ML HH,TRIMETHAPHAN CAMSYLATE, 50 MG/ML HH
DIAZEPAM 5 MG/5 ML SJ,DIAZEPAM, 5 MG/5 ML SJ
CHLORPROTHIXENE 15 MG TA,CHLORPROTHIXENE, 15 MG TA
CHLORPROTHIXENE 50 MG TA,CHLORPROTHIXENE, 50 MG TA
DIAZEPAM 2 MG TA,DIAZEPAM, 2 MG TA
DIAZEPAM 5 MG TA,DIAZEPAM, 5 MG TA
DIAZEPAM 10 MG TA,DIAZEPAM, 10 MG TA
ISOCARBOXAZID 10 MG TA,ISOCARBOXAZID, 10 MG TA
ISONIAZID 100 MG TA,ISONIAZID, 100 MG TA
LEVODOPA 250 MG TA,LEVODOPA, 250 MG TA
LEVODOPA 500 MG TA,LEVODOPA, 500 MG TA
LEVORPHANOL TARTRATE 2 MG TA,LEVORPHANOL TARTRATE, 2 MG TA
MENADIOL SODIUM DIPHOSPHATE 5 MG TA,MENADIOL SODIUM DIPHOSPHATE, 5 MG TA
NEOSTIGMINE BROMIDE 15 MG TA,NEOSTIGMINE BROMIDE, 15 MG TA
PYRIDOSTIGMINE BROMIDE 60 MG TA,PYRIDOSTIGMINE BROMIDE, 60 MG TA
SULFAMETHOXAZOLE 500 MG TA,SULFAMETHOXAZOLE, 500 MG TA
SULFISOXAZOLE 500 MG TA,SULFISOXAZOLE, 500 MG TA
ASCORBIC ACID 1000 MG TF,ASCORBIC ACID, 1000 MG TF
CYCLOPHOSPHAMIDE 200 MG HS,CYCLOPHOSPHAMIDE, 200 MG HS
CYCLOPHOSPHAMIDE 1 G HS,CYCLOPHOSPHAMIDE, 1 G HS
DIMENHYDRINATE 10 MG/ML HH,DIMENHYDRINATE, 10 MG/ML HH
DIMENHYDRINATE 50 MG/ML HV,DIMENHYDRINATE, 50 MG/ML HV
DIETHYLSTILBESTROL DIPHOSPHATE 50 MG/ML HH,DIETHYLSTILBESTROL DIPHOSPHATE, 50 MG/ML HH
DIMENHYDRINATE 50 MG QA,DIMENHYDRINATE, 50 MG QA
DIMENHYDRINATE 100 MG QA,DIMENHYDRINATE, 100 MG QA
SIMETHICONE 40 MG/ML SN,SIMETHICONE, 40 MG/ML SN
"MAGNESIUM, ALUMINUM HYDROXIDE 200-200/5 SC","MAGNESIUM, ALUMINUM HYDROXIDE", 200-200/5 SC
ACETAMINOPHEN 500 MG TA,ACETAMINOPHEN, 500 MG TA
CHLORPROPAMIDE 250 MG TA,CHLORPROPAMIDE, 250 MG TA
CYCLOPHOSPHAMIDE 50 MG TA,CYCLOPHOSPHAMIDE, 50 MG TA
DIETHYLSTILBESTROL DIPHOSPHATE 100 MG TA,DIETHYLSTILBESTROL DIPHOSPHATE, 100 MG TA
DIMENHYDRINATE 50 MG TA,DIMENHYDRINATE, 50 MG TA
SIMETHICONE 40 MG TC,SIMETHICONE, 40 MG TC
"MAGNESIUM, ALUMINUM HYDROXIDE 200-200 MG TC","MAGNESIUM, ALUMINUM HYDROXIDE", 200-200 MG TC
MEPROBAMATE 400 MG TA,MEPROBAMATE, 400 MG TA
TRIFLUOPERAZINE HCL 1 MG TA,TRIFLUOPERAZINE HCL, 1 MG TA
TRIFLUOPERAZINE HCL 2 MG TA,TRIFLUOPERAZINE HCL, 2 MG TA
