,FullDosage,MedName,Dosage/Concentration,Quantity
611,CLOXACILLIN SODIUM 250 MG HS,CLOXACILLIN,SODIUM 250 MG HS,0
612,CLOXACILLIN SODIUM 500 MG HS,CLOXACILLIN,SODIUM 500 MG HS,0
613,CLOXACILLIN SODIUM 2 G HS,CLOXACILLIN,SODIUM 2 G HS,0
614,PENICILLIN G POTASSIUM 1MM UNIT HS,PENICILLIN,G POTASSIUM 1MM UNIT HS,0
615,PENICILLIN G POTASSIUM 5MM UNIT HS,PENICILLIN,G POTASSIUM 5MM UNIT HS,0
616,PENICILLIN G POTASSIUM 10MM UNIT HS,PENICILLIN,G POTASSIUM 10MM UNIT HS,0
617,PENICILLIN G SODIUM 1MM UNIT HS,PENICILLIN,G SODIUM 1MM UNIT HS,0
618,PENICILLIN G SODIUM 5MM UNIT HS,PENICILLIN,G SODIUM 5MM UNIT HS,0
619,PENICILLIN G SODIUM 10MM UNIT HS,PENICILLIN,G SODIUM 10MM UNIT HS,0
620,PRALIDOXIME CHLORIDE 1 G HS,PRALIDOXIME,CHLORIDE 1 G HS,0
621,"ESTROGENS, CONJUGATED 25 MG HS","ESTROGENS,",CONJUGATED 25 MG HS,0
622,"CHORIONIC GONADOTROPIN, HUMAN 10000 UNIT HS",CHORIONIC,"GONADOTROPIN, HUMAN 10000 UNIT HS",0
623,PROPRANOLOL HCL 1 MG/ML HV,PROPRANOLOL,HCL 1 MG/ML HV,0
624,ECHOTHIOPHATE IODIDE 0.125 % SO,ECHOTHIOPHATE,IODIDE 0.125 % SO,0
625,ECHOTHIOPHATE IODIDE 0.25 % SO,ECHOTHIOPHATE,IODIDE 0.25 % SO,0
627,PENICILLIN G PROCAINE 300000/ML HV,PENICILLIN,G PROCAINE 300000/ML HV,0
628,AMPICILLIN TRIHYDRATE 125 MG/5ML PD,AMPICILLIN,TRIHYDRATE 125 MG/5ML PD,0
629,AMPICILLIN TRIHYDRATE 250 MG/5ML PD,AMPICILLIN,TRIHYDRATE 250 MG/5ML PD,0
630,CLOXACILLIN SODIUM 125 MG/5ML PI,CLOXACILLIN,SODIUM 125 MG/5ML PI,0
633,CROMOLYN SODIUM  PA,CROMOLYN,SODIUM  PA,0
634,DAPSONE 100 MG TA,DAPSONE,100 MG TA,0
635,DISULFIRAM 250 MG TA,DISULFIRAM,250 MG TA,0
636,DISULFIRAM 500 MG TA,DISULFIRAM,500 MG TA,0
638,"ESTROGENS, CONJUGATED 0.3 MG TA","ESTROGENS,",CONJUGATED 0.3 MG TA,0
639,"ESTROGENS, CONJUGATED 0.625 MG TA","ESTROGENS,",CONJUGATED 0.625 MG TA,0
640,"ESTROGENS, CONJUGATED 1.25 MG TA","ESTROGENS,",CONJUGATED 1.25 MG TA,0
641,"ESTROGENS, CONJUGATED 2.5 MG TA","ESTROGENS,",CONJUGATED 2.5 MG TA,0
643,PRIMIDONE 125 MG TC,PRIMIDONE,125 MG TC,0
644,PRIMIDONE 250 MG TA,PRIMIDONE,250 MG TA,0
645,PROPRANOLOL HCL 10 MG TA,PROPRANOLOL,HCL 10 MG TA,0
646,PROPRANOLOL HCL 40 MG TA,PROPRANOLOL,HCL 40 MG TA,0
648,ERGOCALCIFEROL (VITAMIN D2) 50000 UNIT CA,ERGOCALCIFEROL,(VITAMIN D2) 50000 UNIT CA,0
649,BECLOMETHASONE DIPROPIONATE 0.025 % KA,BECLOMETHASONE,DIPROPIONATE 0.025 % KA,0
650,POVIDONE-IODINE 10 % JG,POVIDONE-IODINE,10 % JG,0
651,PIPERAZINE ADIPATE 2 G PP,PIPERAZINE,ADIPATE 2 G PP,0
652,AMYL NITRITE 0.3 ML HH,AMYL,NITRITE 0.3 ML HH,0
685,METHADONE HCL 100 % PA,METHADONE,HCL 100 % PA,0
687,CYANOCOBALAMIN (VITAMIN B-12) 1000MCG/ML HV,CYANOCOBALAMIN,(VITAMIN B-12) 1000MCG/ML HV,0
688,ERGONOVINE MALEATE 0.25 MG/ML HH,ERGONOVINE,MALEATE 0.25 MG/ML HH,0
718,ERGONOVINE MALEATE 0.5 MG/ML HH,ERGONOVINE,MALEATE 0.5 MG/ML HH,0
748,COCAINE HCL 100 % PC,COCAINE,HCL 100 % PC,0
749,CALCIUM GLUCONATE 2.5 % JG,CALCIUM,GLUCONATE 2.5 % JG,0
750,ERGOCALCIFEROL (VITAMIN D2) 100000/ML SL,ERGOCALCIFEROL,(VITAMIN D2) 100000/ML SL,0
780,ERGOCALCIFEROL (VITAMIN D2) 300000/ML SL,ERGOCALCIFEROL,(VITAMIN D2) 300000/ML SL,0
810,PIPERAZINE ADIPATE 600 MG/5ML SC,PIPERAZINE,ADIPATE 600 MG/5ML SC,0
811,METHDILAZINE HCL 4 MG/5 ML ST,METHDILAZINE,HCL 4 MG/5 ML ST,0
812,CARBACHOL 2 MG TA,CARBACHOL,2 MG TA,0
842,CODEINE PHOSPHATE 15 MG TB,CODEINE,PHOSPHATE 15 MG TB,0
844,CODEINE PHOSPHATE 30 MG TH,CODEINE,PHOSPHATE 30 MG TH,0
846,CODEINE PHOSPHATE 60 MG TH,CODEINE,PHOSPHATE 60 MG TH,0
848,DIETHYLSTILBESTROL 0.1 MG TA,DIETHYLSTILBESTROL,0.1 MG TA,0
850,DIETHYLSTILBESTROL 0.5 MG TA,DIETHYLSTILBESTROL,0.5 MG TA,0
851,DIETHYLSTILBESTROL 1 MG TA,DIETHYLSTILBESTROL,1 MG TA,0
852,DIETHYLSTILBESTROL 5 MG TA,DIETHYLSTILBESTROL,5 MG TA,0
853,FOLIC ACID 5 MG TA,FOLIC,ACID 5 MG TA,0
854,MEPERIDINE HCL 50 MG TA,MEPERIDINE,HCL 50 MG TA,0
887,QUINIDINE SULFATE 200 MG TA,QUINIDINE,SULFATE 200 MG TA,0
888,NITROGLYCERIN 0.6 MG TU,NITROGLYCERIN,0.6 MG TU,0
920,ORCIPRENALINE SULFATE 50 MG/ML SA,ORCIPRENALINE,SULFATE 50 MG/ML SA,0
921,BISACODYL 5 MG QA,BISACODYL,5 MG QA,0
922,BISACODYL 10 MG QA,BISACODYL,10 MG QA,0
932,ORCIPRENALINE SULFATE 20 MG TA,ORCIPRENALINE,SULFATE 20 MG TA,0
935,DICLOXACILLIN SODIUM 250 MG CA,DICLOXACILLIN,SODIUM 250 MG CA,0
948,DICLOXACILLIN SODIUM 62.5MG/5ML PD,DICLOXACILLIN,SODIUM 62.5MG/5ML PD,0
949,PROCYCLIDINE HCL 2.5 MG/5ML SE,PROCYCLIDINE,HCL 2.5 MG/5ML SE,0
950,POLYMYXIN B SULFATE 500K UNIT HS,POLYMYXIN,B SULFATE 500K UNIT HS,0
980,CYCLIZINE LACTATE 50 MG/ML HH,CYCLIZINE,LACTATE 50 MG/ML HH,0
981,DIGOXIN 0.05 MG/ML HH,DIGOXIN,0.05 MG/ML HH,0
1017,DIGOXIN 0.25 MG/ML HH,DIGOXIN,0.25 MG/ML HH,0
1053,METHOXAMINE HCL 20 MG/ML HH,METHOXAMINE,HCL 20 MG/ML HH,0
1083,MELPHALAN HCL 100 MG HS,MELPHALAN,HCL 100 MG HS,0
1084,PSEUDOEPHEDRINE HCL 30 MG/5 ML ST,PSEUDOEPHEDRINE,HCL 30 MG/5 ML ST,0
1085,ALLOPURINOL 100 MG TA,ALLOPURINOL,100 MG TA,0
1086,AZATHIOPRINE 50 MG TA,AZATHIOPRINE,50 MG TA,0
1126,BUSULFAN 2 MG TA,BUSULFAN,2 MG TA,0
1127,CHLORAMBUCIL 2 MG TA,CHLORAMBUCIL,2 MG TA,0
1130,DIGOXIN 0.25 MG TA,DIGOXIN,0.25 MG TA,0
1131,MELPHALAN 2 MG TA,MELPHALAN,2 MG TA,0
1132,MERCAPTOPURINE 50 MG TA,MERCAPTOPURINE,50 MG TA,0
1133,PROCYCLIDINE HCL 5 MG TA,PROCYCLIDINE,HCL 5 MG TA,0
1134,PSEUDOEPHEDRINE HCL 60 MG TA,PSEUDOEPHEDRINE,HCL 60 MG TA,0
1135,PYRIMETHAMINE 25 MG TA,PYRIMETHAMINE,25 MG TA,0
1137,BACITRACIN/POLYMYXIN B SULFATE 500-10K/G OA,BACITRACIN/POLYMYXIN,B SULFATE 500-10K/G OA,0
1138,ZINC OXIDE 15 % KA,ZINC,OXIDE 15 % KA,0
1139,FERROUS SUCCINATE 100 MG TA,FERROUS,SUCCINATE 100 MG TA,0
1140,BENZONATATE 100 MG CA,BENZONATATE,100 MG CA,0
1144,FLUMETHASONE PIVALATE 0.03 % KA,FLUMETHASONE,PIVALATE 0.03 % KA,0
1145,CLIOQUINOL 3 % KA,CLIOQUINOL,3 % KA,0
1146,METHYLPHENIDATE HCL 20 MG HR,METHYLPHENIDATE,HCL 20 MG HR,0
1147,PHENTOLAMINE MESYLATE 5 MG HS,PHENTOLAMINE,MESYLATE 5 MG HS,0
1149,NAPHAZOLINE HCL 0.05 % AS,NAPHAZOLINE,HCL 0.05 % AS,0
1150,XYLOMETAZOLINE HCL 0.05 % AU,XYLOMETAZOLINE,HCL 0.05 % AU,0
1151,XYLOMETAZOLINE HCL 0.1 % AU,XYLOMETAZOLINE,HCL 0.1 % AU,0
1152,HYDRALAZINE HCL 20 MG/ML HV,HYDRALAZINE,HCL 20 MG/ML HV,0
1153,NAPHAZOLINE HCL 0.05 % SO,NAPHAZOLINE,HCL 0.05 % SO,0
1154,XYLOMETAZOLINE HCL 0.05 % SO,XYLOMETAZOLINE,HCL 0.05 % SO,0
1155,XYLOMETAZOLINE HCL 0.1 % SO,XYLOMETAZOLINE,HCL 0.1 % SO,0
1156,ANTAZOLINE HCL 100 MG TA,ANTAZOLINE,HCL 100 MG TA,0
1160,GLUTETHIMIDE 500 MG TA,GLUTETHIMIDE,500 MG TA,0
1163,GUANETHIDINE SULFATE 10 MG TA,GUANETHIDINE,SULFATE 10 MG TA,0
1193,GUANETHIDINE SULFATE 25 MG TA,GUANETHIDINE,SULFATE 25 MG TA,0
1223,HYDRALAZINE HCL 10 MG TA,HYDRALAZINE,HCL 10 MG TA,0
1253,HYDRALAZINE HCL 25 MG TA,HYDRALAZINE,HCL 25 MG TA,0
1283,HYDRALAZINE HCL 50 MG TA,HYDRALAZINE,HCL 50 MG TA,0
1284,HYDROCHLOROTHIAZIDE 25 MG TA,HYDROCHLOROTHIAZIDE,25 MG TA,0
1287,METHYLPHENIDATE HCL 10 MG TA,METHYLPHENIDATE,HCL 10 MG TA,0
1350,METHYLPHENIDATE HCL 20 MG TA,METHYLPHENIDATE,HCL 20 MG TA,0
1399,METHYLTESTOSTERONE 10 MG TA,METHYLTESTOSTERONE,10 MG TA,0
1400,METHYLTESTOSTERONE 25 MG TA,METHYLTESTOSTERONE,25 MG TA,0
1401,RESERPINE 0.1 MG TA,RESERPINE,0.1 MG TA,0
1402,RESERPINE 0.25 MG TA,RESERPINE,0.25 MG TA,0
1403,TOLAZOLINE HCL 25 MG TA,TOLAZOLINE,HCL 25 MG TA,0
1404,TRIPELENNAMINE HCL 50 MG TA,TRIPELENNAMINE,HCL 50 MG TA,0
1406,METHYLTESTOSTERONE 10 MG TV,METHYLTESTOSTERONE,10 MG TV,0
1408,FLUMETHASONE PIVALATE 0.03 % OA,FLUMETHASONE,PIVALATE 0.03 % OA,0
1438,CLIOQUINOL 3 % OA,CLIOQUINOL,3 % OA,0
1441,ESTRONE 0.1 % KW,ESTRONE,0.1 % KW,0
1443,ESTRONE 250 MCG QC,ESTRONE,250 MCG QC,0
1450,METHOXSALEN 10 MG CA,METHOXSALEN,10 MG CA,0
1480,SUNSCREEN/HYDROQUINONE 2 % KA,SUNSCREEN/HYDROQUINONE,2 % KA,0
1481,METHOXSALEN 1 % SK,METHOXSALEN,1 % SK,0
1511,AMINOBENZOIC ACID 5 % SK,AMINOBENZOIC,ACID 5 % SK,0
1512,HYDROQUINONE 2 % KA,HYDROQUINONE,2 % KA,0
1513,HYDROQUINONE/PABA/SUNSCREEN 4 % KA,HYDROQUINONE/PABA/SUNSCREEN,4 % KA,0
1514,MONOBENZONE 20 % KA,MONOBENZONE,20 % KA,0
1526,IRON DEXTRAN COMPLEX 100 MG/2ML HV,IRON,DEXTRAN COMPLEX 100 MG/2ML HV,0
1527,LEVOTHYROXINE SODIUM 500 MCG HS,LEVOTHYROXINE,SODIUM 500 MCG HS,0
1528,DEXTROTHYROXINE SODIUM 4 MG TA,DEXTROTHYROXINE,SODIUM 4 MG TA,0
1558,LEVOTHYROXINE SODIUM 25 MCG TA,LEVOTHYROXINE,SODIUM 25 MCG TA,0
1559,LEVOTHYROXINE SODIUM 50 MCG TA,LEVOTHYROXINE,SODIUM 50 MCG TA,0
1560,LEVOTHYROXINE SODIUM 100 MCG TA,LEVOTHYROXINE,SODIUM 100 MCG TA,0
1561,LEVOTHYROXINE SODIUM 200 MCG TA,LEVOTHYROXINE,SODIUM 200 MCG TA,0
1562,LEVOTHYROXINE SODIUM 300 MCG TA,LEVOTHYROXINE,SODIUM 300 MCG TA,0
1566,ANILERIDINE PHOSPHATE 25 MG/ML HH,ANILERIDINE,PHOSPHATE 25 MG/ML HH,0
1567,PAPAVERINE HCL 65 MG/2 ML HV,PAPAVERINE,HCL 65 MG/2 ML HV,0
1607,"SODIUM PHOSPHATE,MONO-DIBASIC 19.2-7.2 G SF",SODIUM,"PHOSPHATE,MONO-DIBASIC 19.2-7.2 G SF",0
1619,PENICILLIN G BENZATHINE 500000/5ML SC,PENICILLIN,G BENZATHINE 500000/5ML SC,0
1655,CYPROHEPTADINE HCL 2 MG/5 ML ST,CYPROHEPTADINE,HCL 2 MG/5 ML ST,0
1656,ANILERIDINE HCL 25 MG TA,ANILERIDINE,HCL 25 MG TA,0
1658,PROPOXYPHENE HCL 65 MG TA,PROPOXYPHENE,HCL 65 MG TA,0
1660,PAPAVERINE HCL 100 MG TA,PAPAVERINE,HCL 100 MG TA,0
1663,PROPYLTHIOURACIL 50 MG TA,PROPYLTHIOURACIL,50 MG TA,0
1698,PROPYLTHIOURACIL 100 MG TA,PROPYLTHIOURACIL,100 MG TA,0
1734,WARFARIN SODIUM 5 MG TA,WARFARIN,SODIUM 5 MG TA,0
1735,ACETYLSALICYLIC ACID 325 MG TE,ACETYLSALICYLIC,ACID 325 MG TE,0
1740,ACETYLSALICYLIC ACID 650 MG TE,ACETYLSALICYLIC,ACID 650 MG TE,0
1741,CROTAMITON 10 % KA,CROTAMITON,10 % KA,0
1742,ACENOCOUMAROL 1 MG TA,ACENOCOUMAROL,1 MG TA,0
1782,ACENOCOUMAROL 4 MG TA,ACENOCOUMAROL,4 MG TA,0
1822,CARBAMAZEPINE 200 MG TA,CARBAMAZEPINE,200 MG TA,0
1920,CHLORTHALIDONE 50 MG TA,CHLORTHALIDONE,50 MG TA,0
1921,CHLORTHALIDONE 100 MG TA,CHLORTHALIDONE,100 MG TA,0
1951,DESIPRAMINE HCL 25 MG TA,DESIPRAMINE,HCL 25 MG TA,0
1953,IMIPRAMINE HCL 10 MG TA,IMIPRAMINE,HCL 10 MG TA,0
1954,IMIPRAMINE HCL 25 MG TA,IMIPRAMINE,HCL 25 MG TA,0
1955,IMIPRAMINE HCL 50 MG TA,IMIPRAMINE,HCL 50 MG TA,0
1957,PHENYLBUTAZONE 100 MG TA,PHENYLBUTAZONE,100 MG TA,0
1958,SULFINPYRAZONE 100 MG TA,SULFINPYRAZONE,100 MG TA,0
1959,SULFINPYRAZONE 200 MG TA,SULFINPYRAZONE,200 MG TA,0
1960,PHENYLBUT/MAG TRIS/ALUMINUM  TA,PHENYLBUT/MAG,TRIS/ALUMINUM  TA,0
1990,BETAMETHASONE VALERATE 0.05 % KA,BETAMETHASONE,VALERATE 0.05 % KA,0
1991,BETAMETHASONE VALERATE 0.1 % KA,BETAMETHASONE,VALERATE 0.1 % KA,0
1992,BETAMETHASONE VALERATE 0.05 % SK,BETAMETHASONE,VALERATE 0.05 % SK,0
1993,BETAMETHASONE VALERATE 0.1 % SK,BETAMETHASONE,VALERATE 0.1 % SK,0
1997,AMINOPHYLLINE 250MG/10ML HV,AMINOPHYLLINE,250MG/10ML HV,0
1998,AMINOPHYLLINE 50 MG/ML HH,AMINOPHYLLINE,50 MG/ML HH,0
1999,ATROPINE SULFATE 0.6 MG/ML HV,ATROPINE,SULFATE 0.6 MG/ML HV,0
2000,CALCIUM GLUCONATE 100 MG/ML HV,CALCIUM,GLUCONATE 100 MG/ML HV,0
2001,PARALDEHYDE 100 % HH,PARALDEHYDE,100 % HH,0
2031,BETAMETHASONE SODIUM PHOSPHATE 0.1 % SO,BETAMETHASONE,SODIUM PHOSPHATE 0.1 % SO,0
2032,BETAMETHASONE SODIUM PHOSPHATE 5 MG/100ML SF,BETAMETHASONE,SODIUM PHOSPHATE 5 MG/100ML SF,0
2033,BETAMETHASONE 500 MCG TA,BETAMETHASONE,500 MCG TA,0
2035,"GRISEOFULVIN, MICROSIZE 125 MG TA","GRISEOFULVIN,",MICROSIZE 125 MG TA,0
2036,"GRISEOFULVIN, MICROSIZE 250 MG TA","GRISEOFULVIN,",MICROSIZE 250 MG TA,0
2037,"GRISEOFULVIN, MICROSIZE 500 MG TA","GRISEOFULVIN,",MICROSIZE 500 MG TA,0
2042,BACITRACIN 500 UNIT/G OA,BACITRACIN,500 UNIT/G OA,0
2043,BETAMETHASONE VALERATE 0.05 % OA,BETAMETHASONE,VALERATE 0.05 % OA,0
2044,BETAMETHASONE VALERATE 0.1 % OA,BETAMETHASONE,VALERATE 0.1 % OA,0
2045,DOCUSATE CALCIUM 50 MG CA,DOCUSATE,CALCIUM 50 MG CA,0
2046,DOCUSATE CALCIUM 240 MG CA,DOCUSATE,CALCIUM 240 MG CA,0
2048,ROLITETRACYCLINE 275 MG HS,ROLITETRACYCLINE,275 MG HS,0
2080,FUROSEMIDE 40 MG TA,FUROSEMIDE,40 MG TA,0
2081,GLYBURIDE 5 MG TA,GLYBURIDE,5 MG TA,0
2082,TOLBUTAMIDE 500 MG TA,TOLBUTAMIDE,500 MG TA,0
2083,TOLBUTAMIDE 1 G TA,TOLBUTAMIDE,1 G TA,0
2113,CHLORDIAZEPOXIDE HCL 5 MG CA,CHLORDIAZEPOXIDE,HCL 5 MG CA,0
2114,CHLORDIAZEPOXIDE HCL 10 MG CA,CHLORDIAZEPOXIDE,HCL 10 MG CA,0
2115,CHLORDIAZEPOXIDE HCL 25 MG CA,CHLORDIAZEPOXIDE,HCL 25 MG CA,0
2116,FLURAZEPAM HCL 15 MG CA,FLURAZEPAM,HCL 15 MG CA,0
2147,FLURAZEPAM HCL 30 MG CA,FLURAZEPAM,HCL 30 MG CA,0
2178,METHYPRYLON 300 MG CA,METHYPRYLON,300 MG CA,0
2179,PROCARBAZINE HCL 50 MG CA,PROCARBAZINE,HCL 50 MG CA,0
2210,CHLORDIAZEPOXIDE HCL 100 MG HR,CHLORDIAZEPOXIDE,HCL 100 MG HR,0
2211,ALPHAPRODINE HCL 40 MG/ML HH,ALPHAPRODINE,HCL 40 MG/ML HH,0
2212,ALPHAPRODINE HCL 60 MG/ML HV,ALPHAPRODINE,HCL 60 MG/ML HV,0
2213,ASCORBIC ACID 250 MG/ML HV,ASCORBIC,ACID 250 MG/ML HV,0
2214,DIAZEPAM 5 MG/ML HH,DIAZEPAM,5 MG/ML HH,0
2215,FLUOROURACIL 5 G/100 ML HV,FLUOROURACIL,5 G/100 ML HV,0
2216,LEVORPHANOL TARTRATE 2 MG/ML HH,LEVORPHANOL,TARTRATE 2 MG/ML HH,0
2217,MENADIOL SODIUM DIPHOSPHATE 5 MG/ML HH,MENADIOL,SODIUM DIPHOSPHATE 5 MG/ML HH,0
2218,MENADIOL SODIUM DIPHOSPHATE 10 MG/ML HH,MENADIOL,SODIUM DIPHOSPHATE 10 MG/ML HH,0
2219,NEOSTIGMINE METHYLSULFATE 0.5 MG/ML HV,NEOSTIGMINE,METHYLSULFATE 0.5 MG/ML HV,0
2220,OPIUM 20 MG/ML HH,OPIUM,20 MG/ML HH,0
2222,PHYTONADIONE (VIT K1) 1MG/0.5ML HH,PHYTONADIONE,(VIT K1) 1MG/0.5ML HH,0
2224,EDROPHONIUM CHLORIDE 10 MG/ML HV,EDROPHONIUM,CHLORIDE 10 MG/ML HV,0
2225,TRIMETHAPHAN CAMSYLATE 50 MG/ML HH,TRIMETHAPHAN,CAMSYLATE 50 MG/ML HH,0
2226,DIAZEPAM 5 MG/5 ML SJ,DIAZEPAM,5 MG/5 ML SJ,0
2228,CHLORPROTHIXENE 15 MG TA,CHLORPROTHIXENE,15 MG TA,0
2229,CHLORPROTHIXENE 50 MG TA,CHLORPROTHIXENE,50 MG TA,0
2231,DIAZEPAM 2 MG TA,DIAZEPAM,2 MG TA,0
2232,DIAZEPAM 5 MG TA,DIAZEPAM,5 MG TA,0
2281,DIAZEPAM 10 MG TA,DIAZEPAM,10 MG TA,0
2282,ISOCARBOXAZID 10 MG TA,ISOCARBOXAZID,10 MG TA,0
2283,ISONIAZID 100 MG TA,ISONIAZID,100 MG TA,0
2284,LEVODOPA 250 MG TA,LEVODOPA,250 MG TA,0
2320,LEVODOPA 500 MG TA,LEVODOPA,500 MG TA,0
