,DIN,FullName,GenericName,BrandName,Dosage,DosageForm
34,1112,EPINEPHRINE 2 % SO,EPINEPHRINE,Epifrin, 2 % SO,DROPS
35,1120,IDOXURIDINE 0.1 % SO,IDOXURIDINE,Herplex, 0.1 % SO,DROPS
36,1147,NAPHAZOLINE HCL 0.1 % SO,NAPHAZOLINE HCL,Albalon, 0.1 % SO,DROPS
37,1200,HYDROMORPHONE HCL 100 % PA,HYDROMORPHONE HCL,Pms-Hydromorphone Powder, 100 % PA,POWDER
38,1279,PROPARACAINE HCL 0.5 % SO,PROPARACAINE HCL,Ophthetic, 0.5 % SO,DROPS
39,1317,IDOXURIDINE 0.1 % SL,IDOXURIDINE,Herplex D, 0.1 % SL,LIQUID
40,1686,LIDOCAINE HCL 2 % SJ,LIDOCAINE HCL,Xylocaine Viscous, 2 % SJ,SOLUTION
41,1694,LIDOCAINE HCL 2 % II,LIDOCAINE HCL,Xylocaine Jelly, 2 % II,JELLY(ML)
42,1708,LIDOCAINE HCL 10 % AS,LIDOCAINE HCL,Xylocaine Endotracheal Aerosol, 10 % AS,SPRAY
43,1724,LIDOCAINE HCL/PF 5 MG/ML HV,LIDOCAINE HCL/PF,Xylocaine, 5 MG/ML HV,VIAL
44,1732,LIDOCAINE HCL/PF 10 MG/ML HH,LIDOCAINE HCL/PF,Xylocaine, 10 MG/ML HH,AMPUL
45,1740,LIDOCAINE HCL 15 MG/ML HV,LIDOCAINE HCL,Xylocaine, 15 MG/ML HV,VIAL
46,1783,LIDOCAINE HCL/EPINEPHRINE 0.5-1:100K HV,LIDOCAINE HCL/EPINEPHRINE,Xylocaine , 0.5-1:100K HV,VIAL
47,1791,LIDOCAINE HCL/EPINEPHRINE BIT 1%-1:100K HV,LIDOCAINE HCL/EPINEPHRINE BIT,Xylocaine , 1%-1:100K HV,VIAL
48,1805,LIDOCAINE HCL/EPINEPHRINE BIT 1 %-1:200K HV,LIDOCAINE HCL/EPINEPHRINE BIT,Xylocaine , 1 %-1:200K HV,VIAL
49,1813,LIDOCAINE HCL/EPINEPHRINE/PF 1.5-1:200K HV,LIDOCAINE HCL/EPINEPHRINE/PF,Xylocaine , 1.5-1:200K HV,VIAL
50,1821,LIDOCAINE HCL/EPINEPHRINE 2 %-1:100K HV,LIDOCAINE HCL/EPINEPHRINE,Xylocaine , 2 %-1:100K HV,VIAL
51,1910,IRON SORBITEX 100 MG/2ML HH,IRON SORBITEX,Jectofer, 100 MG/2ML HH,AMPUL
52,1937,LIDOCAINE HCL/PF 20 MG/ML HH,LIDOCAINE HCL/PF,Xylocard, 20 MG/ML HH,AMPUL
53,1945,LIDOCAINE HCL/CETYLPYRIDINIUM  AS,LIDOCAINE HCL/CETYLPYRIDINIUM  AS,Xylocaine Oral Spray,,SPRAY
54,1961,LIDOCAINE 5 % OA,LIDOCAINE,Xylocaine Ointment, 5 % OA,OINT. (G)
55,2003,AMPICILLIN TRIHYDRATE 250 MG CA,AMPICILLIN TRIHYDRATE,Penbritin Cap, 250 MG CA,CAPSULE
56,2011,AMPICILLIN TRIHYDRATE 500 MG CA,AMPICILLIN TRIHYDRATE,Penbritin Cap, 500 MG CA,CAPSULE
57,2038,CLOFIBRATE 500 MG CA,CLOFIBRATE,Atromid S Cap, 500 MG CA,CAPSULE
58,2046,CLOXACILLIN SODIUM 250 MG CA,CLOXACILLIN SODIUM,Orbenin Cap, 250 MG CA,CAPSULE
59,2054,CLOXACILLIN SODIUM 500 MG CA,CLOXACILLIN SODIUM,Orbenin Cap, 500 MG CA,CAPSULE
60,2089,"ESTROGENS, CONJUGATED 0.625 MG/G KW","ESTROGENS, CONJUGATED",Premarin Crm, 0.625 MG/G KW,CREAM/APPL
61,2097,AMPICILLIN SODIUM 125 MG HS,AMPICILLIN SODIUM,Penbritin Inj, 125 MG HS,VIAL
62,2100,AMPICILLIN SODIUM 250 MG HS,AMPICILLIN SODIUM,Penbritin Inj, 250 MG HS,VIAL
63,2119,AMPICILLIN SODIUM 500 MG HS,AMPICILLIN SODIUM,Penbritin Inj, 500 MG HS,VIAL
64,2127,AMPICILLIN SODIUM 1 G HS,AMPICILLIN SODIUM,Penbritin Inj, 1 G HS,VIAL
65,2135,AMPICILLIN SODIUM 2 G HS,AMPICILLIN SODIUM,Penbritin Inj, 2 G HS,VIAL
66,2143,CARBENICILLIN DISODIUM 1 G HS,CARBENICILLIN DISODIUM,Pyopen Inj, 1 G HS,VIAL
67,2151,CLOXACILLIN SODIUM 250 MG HS,CLOXACILLIN SODIUM,Orbenin Inj, 250 MG HS,VIAL
68,2178,CLOXACILLIN SODIUM 500 MG HS,CLOXACILLIN SODIUM,Orbenin Inj, 500 MG HS,VIAL
69,2186,CLOXACILLIN SODIUM 2 G HS,CLOXACILLIN SODIUM,Orbenin Inj, 2 G HS,VIAL
70,2208,PENICILLIN G POTASSIUM 1MM UNIT HS,PENICILLIN G POTASSIUM,Penicillin G Potassium Inj, 1MM UNIT HS,VIAL
71,2216,PENICILLIN G POTASSIUM 5MM UNIT HS,PENICILLIN G POTASSIUM,Penicillin G Potassium Inj, 5MM UNIT HS,VIAL
72,2224,PENICILLIN G POTASSIUM 10MM UNIT HS,PENICILLIN G POTASSIUM,Penicillin G Potassium Inj, 10MM UNIT HS,VIAL
73,2232,PENICILLIN G SODIUM 1MM UNIT HS,PENICILLIN G SODIUM,Penicillin G Sodium Inj, 1MM UNIT HS,VIAL
74,2240,PENICILLIN G SODIUM 5MM UNIT HS,PENICILLIN G SODIUM,Penicillin G Sodium Inj, 5MM UNIT HS,VIAL
75,2259,PENICILLIN G SODIUM 10MM UNIT HS,PENICILLIN G SODIUM,Penicillin G Sodium Inj, 10MM UNIT HS,VIAL
76,2267,PRALIDOXIME CHLORIDE 1 G HS,PRALIDOXIME CHLORIDE,Protopam Chloride Inj, 1 G HS,VIAL
77,2283,"ESTROGENS, CONJUGATED 25 MG HS","ESTROGENS, CONJUGATED",Premarin Inj, 25 MG HS,VIAL
78,2291,"CHORIONIC GONADOTROPIN, HUMAN 10000 UNIT HS","CHORIONIC GONADOTROPIN, HUMAN",Apl Inj, 10000 UNIT HS,VIAL
79,2305,PROPRANOLOL HCL 1 MG/ML HV,PROPRANOLOL HCL,Inderal Inj, 1 MG/ML HV,VIAL
80,2313,ECHOTHIOPHATE IODIDE 0.125 % SO,ECHOTHIOPHATE IODIDE,Phospholine Iodide Dps, 0.125 % SO,DROPS
81,2348,ECHOTHIOPHATE IODIDE 0.25 % SO,ECHOTHIOPHATE IODIDE,Phospholine Iodide Dps, 0.25 % SO,DROPS
82,2402,PENICILLIN G PROCAINE 300000/ML HV,PENICILLIN G PROCAINE,Ayercillin Suspension, 300000/ML HV,VIAL
83,2410,AMPICILLIN TRIHYDRATE 125 MG/5ML PD,AMPICILLIN TRIHYDRATE,Penbritin Pws, 125 MG/5ML PD,SUSP RECON
84,2429,AMPICILLIN TRIHYDRATE 250 MG/5ML PD,AMPICILLIN TRIHYDRATE,Penbritin Pws, 250 MG/5ML PD,SUSP RECON
85,2445,CLOXACILLIN SODIUM 125 MG/5ML PI,CLOXACILLIN SODIUM,Orbenin Pwr, 125 MG/5ML PI,SOLN RECON
86,2524,CROMOLYN SODIUM  PA,CROMOLYN SODIUM  PA,Pms-Sod Cromoglycate Powder,,POWDER
87,2526,DAPSONE 100 MG TA,DAPSONE,Avlosulfon Tab, 100 MG TA,TABLET
88,2534,DISULFIRAM 250 MG TA,DISULFIRAM,Antabuse Tab, 250 MG TA,TABLET
89,2542,DISULFIRAM 500 MG TA,DISULFIRAM,Antabuse Tab, 500 MG TA,TABLET
90,2569,"ESTROGENS, CONJUGATED 0.3 MG TA","ESTROGENS, CONJUGATED",Premarin Tablets, 0.3 MG TA,TABLET
91,2577,"ESTROGENS, CONJUGATED 0.625 MG TA","ESTROGENS, CONJUGATED",Premarin Tablets, 0.625 MG TA,TABLET
92,2585,"ESTROGENS, CONJUGATED 1.25 MG TA","ESTROGENS, CONJUGATED",Premarin Tablets, 1.25 MG TA,TABLET
93,2593,"ESTROGENS, CONJUGATED 2.5 MG TA","ESTROGENS, CONJUGATED",Premarin Tablets, 2.5 MG TA,TABLET
94,2623,PRIMIDONE 125 MG TC,PRIMIDONE,Mysoline Tab, 125 MG TC,TAB CHEW
95,2631,PRIMIDONE 250 MG TA,PRIMIDONE,Mysoline Tab, 250 MG TA,TABLET
96,2658,PROPRANOLOL HCL 10 MG TA,PROPRANOLOL HCL,Inderal Tab, 10 MG TA,TABLET
97,2666,PROPRANOLOL HCL 40 MG TA,PROPRANOLOL HCL,Inderal Tab, 40 MG TA,TABLET
98,2690,ERGOCALCIFEROL (VITAMIN D2) 50000 UNIT CA,ERGOCALCIFEROL (VITAMIN D2),Radiostol Cap, 50000 UNIT CA,CAPSULE
99,2712,BECLOMETHASONE DIPROPIONATE 0.025 % KA,BECLOMETHASONE DIPROPIONATE,Propaderm Cream, 0.025 % KA,CREAM (G)
100,2720,POVIDONE-IODINE 10 % JG,POVIDONE-IODINE,Bridine Vaginal Gel, 10 % JG,GEL (GRAM)
101,2739,PIPERAZINE ADIPATE 2 G PP,PIPERAZINE ADIPATE,Entacyl Granules, 2 G PP,PACKET
102,2747,AMYL NITRITE 0.3 ML HH,AMYL NITRITE,Amylnitrite Glass Cap, 0.3 ML HH,AMPUL
103,2773,METHADONE HCL 100 % PA,METHADONE HCL,Pms-Methadone Hcl Powder, 100 % PA,POWDER
104,2909,CYANOCOBALAMIN (VITAMIN B-12) 1000MCG/ML HV,CYANOCOBALAMIN (VITAMIN B-12),Anacobin, 1000MCG/ML HV,VIAL
105,2925,ERGONOVINE MALEATE 0.25 MG/ML HH,ERGONOVINE MALEATE,Ergometrine Inj, 0.25 MG/ML HH,AMPUL
106,2933,ERGONOVINE MALEATE 0.5 MG/ML HH,ERGONOVINE MALEATE,Ergometrine Inj, 0.5 MG/ML HH,AMPUL
107,2974,COCAINE HCL 100 % PC,COCAINE HCL,Pms-Cocaine Powder, 100 % PC,CRYSTALS
108,3033,CALCIUM GLUCONATE 2.5 % JG,CALCIUM GLUCONATE,Calcium Gluconate, 2.5 % JG,GEL (GRAM)
109,3093,ERGOCALCIFEROL (VITAMIN D2) 100000/ML SL,ERGOCALCIFEROL (VITAMIN D2),Radiostol Solution, 100000/ML SL,LIQUID
110,3107,ERGOCALCIFEROL (VITAMIN D2) 300000/ML SL,ERGOCALCIFEROL (VITAMIN D2),Radiostol Forte, 300000/ML SL,LIQUID
111,3131,PIPERAZINE ADIPATE 600 MG/5ML SC,PIPERAZINE ADIPATE,Entacyl Susp, 600 MG/5ML SC,ORAL SUSP
112,3158,METHDILAZINE HCL 4 MG/5 ML ST,METHDILAZINE HCL,Dilosyn Syrup, 4 MG/5 ML ST,SYRUP
113,3212,CARBACHOL 2 MG TA,CARBACHOL,Carbachol Tab, 2 MG TA,TABLET
114,3220,CODEINE PHOSPHATE 15 MG TB,CODEINE PHOSPHATE,Codeine Phosphate Tab, 15 MG TB,TABLET SOL
115,3239,CODEINE PHOSPHATE 30 MG TH,CODEINE PHOSPHATE,Codeine Phosphate Tab, 30 MG TH,TABLET HYP
116,3247,CODEINE PHOSPHATE 60 MG TH,CODEINE PHOSPHATE,Codeine Phosphate Tab, 60 MG TH,TABLET HYP
117,3336,DIETHYLSTILBESTROL 0.1 MG TA,DIETHYLSTILBESTROL,Stilboestrol Tab, 0.1 MG TA,TABLET
118,3352,DIETHYLSTILBESTROL 0.5 MG TA,DIETHYLSTILBESTROL,Stilboestrol Tab, 0.5 MG TA,TABLET
119,3360,DIETHYLSTILBESTROL 1 MG TA,DIETHYLSTILBESTROL,Stilboestrol Tab, 1 MG TA,TABLET
120,3379,DIETHYLSTILBESTROL 5 MG TA,DIETHYLSTILBESTROL,Stilboestrol Tab, 5 MG TA,TABLET
121,3492,FOLIC ACID 5 MG TA,FOLIC ACID,Folvite Tab, 5 MG TA,TABLET
122,3506,MEPERIDINE HCL 50 MG TA,MEPERIDINE HCL,Pethidine Hcl Tab, 50 MG TA,TABLET
123,3611,QUINIDINE SULFATE 200 MG TA,QUINIDINE SULFATE,Quinidine Sulphate Tab, 200 MG TA,TABLET
124,3662,NITROGLYCERIN 0.6 MG TU,NITROGLYCERIN,Nitroglycerin Tab, 0.6 MG TU,TAB SUBL
125,3859,ORCIPRENALINE SULFATE 50 MG/ML SA,ORCIPRENALINE SULFATE,Alupent Liq, 50 MG/ML SA,SOLUTION
126,3867,BISACODYL 5 MG QA,BISACODYL,Dulcolax, 5 MG QA,SUPP.RECT
127,3875,BISACODYL 10 MG QA,BISACODYL,Dulcolax, 10 MG QA,SUPP.RECT
128,3891,ORCIPRENALINE SULFATE 20 MG TA,ORCIPRENALINE SULFATE,Alupent Tab, 20 MG TA,TABLET
129,3964,DICLOXACILLIN SODIUM 250 MG CA,DICLOXACILLIN SODIUM,Dynapen Cap, 250 MG CA,CAPSULE
130,4286,DICLOXACILLIN SODIUM 62.5MG/5ML PD,DICLOXACILLIN SODIUM,Dynapen, 62.5MG/5ML PD,SUSP RECON
131,4405,PROCYCLIDINE HCL 2.5 MG/5ML SE,PROCYCLIDINE HCL,Kemadrin Elx, 2.5 MG/5ML SE,ELIXIR
132,4421,POLYMYXIN B SULFATE 500K UNIT HS,POLYMYXIN B SULFATE,Aerosporin Sterile Powder, 500K UNIT HS,VIAL
133,4448,CYCLIZINE LACTATE 50 MG/ML HH,CYCLIZINE LACTATE,Marzine Inj, 50 MG/ML HH,AMPUL
134,4456,DIGOXIN 0.05 MG/ML HH,DIGOXIN,Lanoxin Inj, 0.05 MG/ML HH,AMPUL
135,4464,DIGOXIN 0.25 MG/ML HH,DIGOXIN,Lanoxin Inj, 0.25 MG/ML HH,AMPUL
136,4480,METHOXAMINE HCL 20 MG/ML HH,METHOXAMINE HCL,Vasoxyl Inj, 20 MG/ML HH,AMPUL
137,4502,MELPHALAN HCL 100 MG HS,MELPHALAN HCL,Alkeran Inj, 100 MG HS,VIAL
138,4561,PSEUDOEPHEDRINE HCL 30 MG/5 ML ST,PSEUDOEPHEDRINE HCL,Sudafed Syr, 30 MG/5 ML ST,SYRUP
139,4588,ALLOPURINOL 100 MG TA,ALLOPURINOL,Zyloprim, 100 MG TA,TABLET
140,4596,AZATHIOPRINE 50 MG TA,AZATHIOPRINE,Imuran, 50 MG TA,TABLET
141,4618,BUSULFAN 2 MG TA,BUSULFAN,Myleran, 2 MG TA,TABLET
142,4626,CHLORAMBUCIL 2 MG TA,CHLORAMBUCIL,Leukeran, 2 MG TA,TABLET
143,4685,DIGOXIN 0.25 MG TA,DIGOXIN,Lanoxin Tab, 0.25 MG TA,TABLET
144,4715,MELPHALAN 2 MG TA,MELPHALAN,Alkeran, 2 MG TA,TABLET
145,4723,MERCAPTOPURINE 50 MG TA,MERCAPTOPURINE,Purinethol, 50 MG TA,TABLET
146,4758,PROCYCLIDINE HCL 5 MG TA,PROCYCLIDINE HCL,Kemadrin Tab, 5 MG TA,TABLET
147,4766,PSEUDOEPHEDRINE HCL 60 MG TA,PSEUDOEPHEDRINE HCL,Sudafed Tab, 60 MG TA,TABLET
148,4774,PYRIMETHAMINE 25 MG TA,PYRIMETHAMINE,Daraprim, 25 MG TA,TABLET
149,4863,BACITRACIN/POLYMYXIN B SULFATE 500-10K/G OA,BACITRACIN/POLYMYXIN B SULFATE,Polysporin Topical First Aid Antibiotic Ointment, 500-10K/G OA,OINT. (G)
150,4898,ZINC OXIDE 15 % KA,ZINC OXIDE,Zincofax Display, 15 % KA,CREAM (G)
151,4952,FERROUS SUCCINATE 100 MG TA,FERROUS SUCCINATE,Cerevon Tab, 100 MG TA,TABLET
152,5096,BENZONATATE 100 MG CA,BENZONATATE,Tessalon, 100 MG CA,CAPSULE
153,5134,FLUMETHASONE PIVALATE 0.03 % KA,FLUMETHASONE PIVALATE,Locacorten, 0.03 % KA,CREAM (G)
154,5142,CLIOQUINOL 3 % KA,CLIOQUINOL,Vioform, 3 % KA,CREAM (G)
155,5185,METHYLPHENIDATE HCL 20 MG HR,METHYLPHENIDATE HCL,Ritalin Ampoules, 20 MG HR,AMPUL
156,5193,PHENTOLAMINE MESYLATE 5 MG HS,PHENTOLAMINE MESYLATE,Rogitine, 5 MG HS,VIAL
157,5223,NAPHAZOLINE HCL 0.05 % AS,NAPHAZOLINE HCL,Privine, 0.05 % AS,SPRAY
158,5231,XYLOMETAZOLINE HCL 0.05 % AU,XYLOMETAZOLINE HCL,Otrivin Pediatric Nas Spray, 0.05 % AU,SPRAY
159,5258,XYLOMETAZOLINE HCL 0.1 % AU,XYLOMETAZOLINE HCL,Otrivin Nas Spray, 0.1 % AU,SPRAY
160,5274,HYDRALAZINE HCL 20 MG/ML HV,HYDRALAZINE HCL,Apresoline Inj, 20 MG/ML HV,VIAL
161,5347,NAPHAZOLINE HCL 0.05 % SO,NAPHAZOLINE HCL,Privine Solution, 0.05 % SO,DROPS
162,5355,XYLOMETAZOLINE HCL 0.05 % SO,XYLOMETAZOLINE HCL,Otrivin Pediatric Nas Soln, 0.05 % SO,DROPS
163,5363,XYLOMETAZOLINE HCL 0.1 % SO,XYLOMETAZOLINE HCL,Otrivin Nas Soln, 0.1 % SO,DROPS
164,5436,ANTAZOLINE HCL 100 MG TA,ANTAZOLINE HCL,Antistine, 100 MG TA,TABLET
165,5495,GLUTETHIMIDE 500 MG TA,GLUTETHIMIDE,Doriden, 500 MG TA,TABLET
166,5509,GUANETHIDINE SULFATE 10 MG TA,GUANETHIDINE SULFATE,Ismelin, 10 MG TA,TABLET
167,5517,GUANETHIDINE SULFATE 25 MG TA,GUANETHIDINE SULFATE,Ismelin, 25 MG TA,TABLET
168,5525,HYDRALAZINE HCL 10 MG TA,HYDRALAZINE HCL,"Apresoline Tablets,", 10 MG TA,TABLET
169,5533,HYDRALAZINE HCL 25 MG TA,HYDRALAZINE HCL,"Apresoline Tablets,", 25 MG TA,TABLET
170,5541,HYDRALAZINE HCL 50 MG TA,HYDRALAZINE HCL,"Apresoline Tablets,", 50 MG TA,TABLET
171,5568,HYDROCHLOROTHIAZIDE 25 MG TA,HYDROCHLOROTHIAZIDE,Hydrodiuril Tab, 25 MG TA,TABLET
172,5606,METHYLPHENIDATE HCL 10 MG TA,METHYLPHENIDATE HCL,Ritalin, 10 MG TA,TABLET
173,5614,METHYLPHENIDATE HCL 20 MG TA,METHYLPHENIDATE HCL,Ritalin, 20 MG TA,TABLET
174,5622,METHYLTESTOSTERONE 10 MG TA,METHYLTESTOSTERONE,Metandren, 10 MG TA,TABLET
175,5630,METHYLTESTOSTERONE 25 MG TA,METHYLTESTOSTERONE,Metandren, 25 MG TA,TABLET
176,5657,RESERPINE 0.1 MG TA,RESERPINE,Serpasil, 0.1 MG TA,TABLET
177,5665,RESERPINE 0.25 MG TA,RESERPINE,Serpasil, 0.25 MG TA,TABLET
178,5681,TOLAZOLINE HCL 25 MG TA,TOLAZOLINE HCL,Priscoline, 25 MG TA,TABLET
179,5703,TRIPELENNAMINE HCL 50 MG TA,TRIPELENNAMINE HCL,Pyribenzamine, 50 MG TA,TABLET
180,5746,METHYLTESTOSTERONE 10 MG TV,METHYLTESTOSTERONE,Metandren, 10 MG TV,TAB BUCCAL
181,5789,FLUMETHASONE PIVALATE 0.03 % OA,FLUMETHASONE PIVALATE,Locacorten, 0.03 % OA,OINT. (G)
182,5797,CLIOQUINOL 3 % OA,CLIOQUINOL,Vioform, 3 % OA,OINT. (G)
183,6149,ESTRONE 0.1 % KW,ESTRONE,Oestrilin Creme Vaginale, 0.1 % KW,CREAM/APPL
184,6211,ESTRONE 250 MCG QC,ESTRONE,Oestrilin Cones Vaginaux, 250 MCG QC,SUPP.VAG
185,7269,METHOXSALEN 10 MG CA,METHOXSALEN,Oxsoralen Capsules, 10 MG CA,CAPSULE
186,7277,SUNSCREEN/HYDROQUINONE 2 % KA,SUNSCREEN/HYDROQUINONE,Eldopaque, 2 % KA,CREAM (G)
187,7285,METHOXSALEN 1 % SK,METHOXSALEN,Oxsoralen Lotion, 1 % SK,LOTION
188,7307,AMINOBENZOIC ACID 5 % SK,AMINOBENZOIC ACID,Pabanol, 5 % SK,LOTION
189,7315,HYDROQUINONE 2 % KA,HYDROQUINONE,Solaquin Crm, 2 % KA,CREAM (G)
190,7323,HYDROQUINONE/PABA/SUNSCREEN 4 % KA,HYDROQUINONE/PABA/SUNSCREEN,Solaquin Forte, 4 % KA,CREAM (G)
191,7331,MONOBENZONE 20 % KA,MONOBENZONE,Benoquin, 20 % KA,CREAM (G)
192,9598,IRON DEXTRAN COMPLEX 100 MG/2ML HV,IRON DEXTRAN COMPLEX,Imferon Inj, 100 MG/2ML HV,VIAL
193,9601,LEVOTHYROXINE SODIUM 500 MCG HS,LEVOTHYROXINE SODIUM,Synthroid For Inj, 500 MCG HS,VIAL
194,9636,DEXTROTHYROXINE SODIUM 4 MG TA,DEXTROTHYROXINE SODIUM,Choloxin Tablet, 4 MG TA,TABLET
195,9644,LEVOTHYROXINE SODIUM 25 MCG TA,LEVOTHYROXINE SODIUM,Synthroid Tab, 25 MCG TA,TABLET
196,9652,LEVOTHYROXINE SODIUM 50 MCG TA,LEVOTHYROXINE SODIUM,Synthroid Tab, 50 MCG TA,TABLET
197,9660,LEVOTHYROXINE SODIUM 100 MCG TA,LEVOTHYROXINE SODIUM,Synthroid Tab, 100 MCG TA,TABLET
198,9687,LEVOTHYROXINE SODIUM 200 MCG TA,LEVOTHYROXINE SODIUM,Synthroid Tab, 200 MCG TA,TABLET
199,9695,LEVOTHYROXINE SODIUM 300 MCG TA,LEVOTHYROXINE SODIUM,Synthroid Tab, 300 MCG TA,TABLET
200,9857,ANILERIDINE PHOSPHATE 25 MG/ML HH,ANILERIDINE PHOSPHATE,Leritine Inj, 25 MG/ML HH,AMPUL
201,9881,PAPAVERINE HCL 65 MG/2 ML HV,PAPAVERINE HCL,Papaverine Hydrochloride Injection Usp, 65 MG/2 ML HV,VIAL
202,9911,"SODIUM PHOSPHATE,MONO-DIBASIC 19.2-7.2 G SF","SODIUM PHOSPHATE,MONO-DIBASIC",Fleet Enema, 19.2-7.2 G SF,ENEMA
203,9938,PENICILLIN G BENZATHINE 500000/5ML SC,PENICILLIN G BENZATHINE,Megacillin, 500000/5ML SC,ORAL SUSP
204,9989,CYPROHEPTADINE HCL 2 MG/5 ML ST,CYPROHEPTADINE HCL,Periactin Syr, 2 MG/5 ML ST,SYRUP
205,10014,ANILERIDINE HCL 25 MG TA,ANILERIDINE HCL,Leritine Tablets, 25 MG TA,TABLET
206,10081,PROPOXYPHENE HCL 65 MG TA,PROPOXYPHENE HCL,642 Tab, 65 MG TA,TABLET
207,10154,PAPAVERINE HCL 100 MG TA,PAPAVERINE HCL,Papaverine Hcl Tab, 100 MG TA,TABLET
208,10200,PROPYLTHIOURACIL 50 MG TA,PROPYLTHIOURACIL,Propyl-Thyracil, 50 MG TA,TABLET
209,10219,PROPYLTHIOURACIL 100 MG TA,PROPYLTHIOURACIL,Propyl-Thyracil, 100 MG TA,TABLET
210,10308,WARFARIN SODIUM 5 MG TA,WARFARIN SODIUM,Warfilone Tab, 5 MG TA,TABLET
211,10332,ACETYLSALICYLIC ACID 325 MG TE,ACETYLSALICYLIC ACID,Entrophen, 325 MG TE,TABLET DR
212,10340,ACETYLSALICYLIC ACID 650 MG TE,ACETYLSALICYLIC ACID,Entrophen Ect, 650 MG TE,TABLET DR
213,10375,CROTAMITON 10 % KA,CROTAMITON,Eurax, 10 % KA,CREAM (G)
